# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_9 sigma_7 sigma_6 sigma_5 sigma_4 sigma_3 sigma_2
5.892102187612295e-07 1.056746922586925e-37 1.3192086506302158e-37 2.6211804371932085e-37 5.14858435868219e-37 2.7841900424620877e-36 1.6362084522029724e-34 4.47890705254026e-33 3.502140836760187e-33
6.029485849799565e-07 1.0347280755609892e-37 1.2923611665146086e-37 2.5741592517928282e-37 5.079491198519212e-37 2.8004028861959886e-36 1.6744865773268697e-34 4.608134012832387e-33 3.632049356966899e-33
6.17007282890752e-07 1.0131721037281897e-37 1.2660679959638915e-37 2.528043860291346e-37 5.011747279125652e-37 2.8176519651098772e-36 1.7137020857005575e-34 4.742086232619277e-33 3.768452209509702e-33
6.313937815326057e-07 9.920692064552117e-38 1.2403175710857063e-37 2.482816373932964e-37 4.945329537262269e-37 2.8359596810453085e-36 1.7538789315644785e-34 4.880990113245128e-33 3.911749311095392e-33
6.461157240969403e-07 9.714097919591653e-38 1.215098567593876e-37 2.4384592663725173e-37 4.880215414839116e-37 2.8553492743133656e-36 1.7950417875890907e-34 5.025085097973516e-33 4.0623677002736615e-33
6.611809319882495e-07 9.511844728266483e-38 1.1903998996338337e-37 2.3949553662212115e-37 4.816382850388994e-37 2.8758448347181548e-36 1.8372160703258847e-34 5.17462448856254e-33 4.2207634083836275e-33
6.765974089794179e-07 9.313840616299484e-38 1.1662107147146024e-37 2.3522878497309425e-37 4.753810270698861e-37 2.8974713118125452e-36 1.8804279668258607e-34 5.329876317631062e-33 4.387423502691468e-33
6.923733454639272e-07 9.119995666381188e-38 1.142520388753704e-37 2.3104402336491712e-37 4.692476582736798e-37 2.9202545242969712e-36 1.9247044624704216e-34 5.491124276706857e-33 4.5628682635345954e-33
7.085171228072106e-07 8.930221876208117e-38 1.1193185212258156e-37 2.2693963682136406e-37 4.632361165762386e-37 2.9442211684709664e-36 1.9700733700741316e-34 5.658668707058491e-33 4.747653531546654e-33
7.250373177994646e-07 8.744433117430177e-38 1.0965949304172104e-37 2.2291404303012776e-37 4.573443863688496e-37 2.9693988256462476e-36 2.0165633603147994e-34 5.8328276550106494e-33 4.942373188674951e-33
7.419427072122865e-07 8.562545095484283e-38 1.0743396487813856e-37 2.189656916718727e-37 4.515704977654464e-37 2.9958159684296086e-36 2.064203993557595e-34 6.013937998463872e-33 5.147661861192353e-33
7.592422724615558e-07 8.384475310297849e-38 1.0525429183945704e-37 2.150930637635068e-37 4.4591252588229475e-37 3.0235019657908943e-36 2.113025753135917e-34 6.202356647535267e-33 5.364197781169504e-33
7.769452043790388e-07 8.21014301784027e-38 1.0311951865087399e-37 2.112946710152936e-37 4.403685901395378e-37 3.052487086824908e-36 2.1630600801626593e-34 6.398461826324301e-33 5.5927058657780684e-33
7.950609080952509e-07 8.039469192505743e-38 1.0102871011999276e-37 2.075690552014611e-37 4.349368535842239e-37 3.082802503132611e-36 2.2143394099449668e-34 6.60265444050648e-33 5.833961016393948e-33
8.135990080361694e-07 7.8723764903083e-38 9.898095071098534e-38 2.0391478754406847e-37 4.296155222348149e-37 3.1144802897435515e-36 2.2668972100830075e-34 6.815359537412488e-33 6.0887916504793235e-33
8.325693530364543e-07 7.708789212871345e-38 9.697534412788155e-38 2.003304681098295e-37 4.244028444469604e-37 3.1475534245141153e-36 2.320768020333818e-34 7.037027864545127e-33 6.358083488316329e-33
8.519820215718901e-07 7.548633272194721e-38 9.501101290677817e-38 1.9681472521958025e-37 4.192971103002169e-37 3.182055785945208e-36 2.375987494332376e-34 7.268137534377471e-33 6.642783609950174e-33
8.718473271138315e-07 7.391836156181758e-38 9.308709801678482e-38 1.9336621487017624e-37 4.142966510058222e-37 3.218022149374217e-36 2.432592443260906e-34 7.509195802358969e-33 6.943904799582703e-33
8.921758236084957e-07 7.238326894909962e-38 9.120275846950829e-38 1.8998362016849922e-37 4.093998383351546e-37 3.255488181510582e-36 2.4906208815669543e-34 7.760740966691062e-33 7.26253020531297e-33
9.12978311084014e-07 7.088036027629286e-38 8.935717093689238e-38 1.8666565077734403e-37 4.0460508406890234e-37 3.2944904333004367e-36 2.5501120748344237e-34 8.023344398360378e-33 7.599818327648845e-33
9.342658413882192e-07 6.940895570471521e-38 8.754952937723187e-38 1.8341104237291757e-37 3.999108394667881e-37 3.3350663311243945e-36 2.6111065899189596e-34 8.297612711030689e-33 7.957008365747592e-33
9.560497240602198e-07 6.796838984856165e-38 8.577904466918284e-38 1.8021855611370713e-37 3.953155947577812e-37 3.377254166352283e-36 2.6736463474641118e-34 8.584190080680793e-33 8.335425947765993e-33
9.78341532338879e-07 6.65580114657645e-38 8.404494425359569e-38 1.770869781204708e-37 3.908178786507205e-37 3.4210930833030696e-36 2.7377746769246215e-34 8.883760726751889e-33 8.736489266468216e-33
1.0011531093113902e-06 6.517718315551823e-38 8.234647178300096e-38 1.7401511896711384e-37 3.864162578653044e-37 3.466623065682321e-36 2.8035363742218685e-34 9.197051563163083e-33 9.161715656190254e-33
