# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma, unit: cm2, datatype: float64}
# - {name: col1, unit: cm2, datatype: float64}
# - {name: col2, unit: cm2, datatype: float64}
# - {name: col3, unit: cm2, datatype: float64}
# - {name: col4, unit: cm2, datatype: float64}
# - {name: col5, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma col1 col2 col3 col4 col5
0.006255993607717629 inf inf inf inf inf inf
0.006357747902989157 inf inf inf inf inf inf
0.006461157240969403 inf inf inf inf inf inf
0.006566248541075968 inf inf inf inf inf inf
0.006673049160573193 inf inf inf inf inf inf
0.0067815869016937605 inf inf inf inf inf inf
0.006891890018876168 inf inf inf inf inf inf
0.00700398722611988 inf inf inf inf inf inf
0.007117907704460117 inf inf inf inf inf inf
0.00723368110956425 inf inf inf inf inf inf
0.007351337579451725 inf inf inf inf inf inf
0.0074709077423395845 inf inf inf inf inf inf
0.007592422724615558 inf inf inf inf inf inf
0.007715914158940838 inf inf inf inf inf inf
0.007841414192484688 inf inf inf inf inf inf
0.007968955495292945 inf inf inf inf inf inf
0.008098571268792676 inf inf inf inf inf inf
0.008230295254435131 inf inf inf inf inf inf
0.008364161742479264 inf inf inf inf inf inf
0.00850020558091816 inf inf inf inf inf inf
0.00863846218455062 inf inf inf inf inf inf
0.008778967544200336 inf inf inf inf inf inf
0.008921758236084957 inf inf inf inf inf inf
0.00906687143133757 inf inf inf inf inf inf
0.009214344905683071 inf inf inf inf inf inf
0.009364217049271886 inf inf inf inf inf inf
0.009516526876673703 inf inf inf inf inf inf
0.009671314037033632 inf inf inf inf inf inf
0.009828618824393714 inf inf inf inf inf inf
0.009988482188182152 inf inf inf inf inf inf
0.010150945743873265 inf inf inf inf inf inf
0.010316051783820808 inf inf inf inf inf inf
0.010483843288267415 inf inf inf inf inf inf
0.010654363936533231 inf inf inf inf inf inf
0.010827658118386443 inf inf inf inf inf inf
0.011003770945598783 inf inf inf inf inf inf
0.01118274826368899 inf inf inf inf inf inf
0.011364636663857248 inf inf inf inf inf inf
0.011549483495113791 inf inf inf inf inf inf
0.011737336876604733 inf inf inf inf inf inf
0.011928245710138402 inf inf inf inf inf inf
0.012122259692915414 inf inf inf inf inf inf
0.01231942933046578 inf inf inf inf inf inf
0.012519805949796486 inf inf inf inf inf inf
0.012723441712752873 inf inf inf inf inf inf
0.012930389629597363 inf inf inf inf inf inf
0.013140703572809014 inf inf inf inf inf inf
0.013354438291107598 inf inf inf inf inf inf
0.013571649423705694 inf inf inf inf inf inf
0.013792393514792651 inf inf inf inf inf inf
0.01401672802825412 inf inf inf inf inf inf
0.014244711362630969 inf inf inf inf inf inf
0.014476402866321568 inf inf inf inf inf inf
0.014711862853031292 inf inf inf inf inf inf
0.014951152617473323 inf inf inf inf inf inf
0.01519433445132484 inf inf inf inf inf inf
0.015441471659442698 inf inf inf inf inf inf
0.01569262857634293 inf inf inf inf inf inf
0.01594787058294821 inf inf inf inf inf inf
0.016207264123607772 inf inf inf inf inf inf
0.016470876723394135 inf inf inf inf inf inf
0.016738777005681136 inf inf inf inf inf inf
0.017011034710007943 inf inf inf inf inf inf
0.01728772071023356 inf inf inf inf inf inf
0.01756890703298664 inf inf inf inf inf inf
0.017854666876415383 inf inf inf inf inf inf
0.01814507462924242 inf inf inf inf inf inf
0.018440205890129607 inf inf inf inf inf inf
0.01874013748735779 inf inf inf inf inf inf
0.019044947498826684 inf inf inf inf inf inf
0.01935471527237999 inf inf inf inf inf inf
0.01966952144646121 inf inf inf inf inf inf
0.01998944797110533 inf inf inf inf inf inf
0.02031457812927197 inf inf inf inf inf inf
0.02064499655852557 inf inf inf inf inf inf
0.020980789273068054 inf inf inf inf inf inf
0.02132204368613009 inf inf inf inf inf inf
0.02166884863272633 inf inf inf inf inf inf
0.022021294392780895 inf inf inf inf inf inf
0.02237947271462894 inf inf inf inf inf inf
0.022743476838900465 inf inf inf inf inf inf
0.023113401522792686 inf inf inf inf inf inf
0.023489343064737087 inf inf inf inf inf inf
0.023871399329467767 inf inf inf inf inf inf
0.024259669773497434 inf inf inf inf inf inf
0.0246542554710079 inf inf inf inf inf inf
0.025055259140161573 inf inf inf inf inf inf
0.025462785169840945 inf inf inf inf inf inf
0.02587693964682304 inf inf inf inf inf inf
0.026297830383395747 inf inf inf inf inf inf
0.02672556694542349 inf inf inf inf inf inf
0.027160260680869266 inf inf inf inf inf inf
0.027602024748780644 inf inf inf inf inf inf
0.028050974148747226 inf inf inf inf inf inf
0.02850722575083718 inf inf inf inf inf inf
0.02897089832602083 inf inf inf inf inf inf
0.029442112577088918 inf inf inf inf inf inf
0.02992099117007388 inf inf inf inf inf inf
0.030407658766182153 inf inf inf inf inf inf
0.030902242054245785 inf inf inf inf inf inf
0.03140486978370205 inf inf inf inf inf inf
0.03191567279810932 inf inf inf inf inf inf
0.032434784069208154 inf inf inf inf inf inf
0.03296233873153629 inf inf inf inf inf inf
0.03349847411760691 inf inf inf inf inf inf
0.034043329793658726 inf inf inf inf inf inf
0.034597047595987765 inf inf inf inf inf inf
0.03515977166787022 inf inf inf inf inf inf
0.035731648497085385 inf inf inf inf inf inf
0.03631282695404956 inf inf inf inf inf inf
0.036903458330569544 inf inf inf inf inf inf
0.037503696379226896 inf inf inf inf inf inf
0.03811369735340277 inf inf inf inf inf inf
