# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_9
3.162277660168379e-07 1.4505199599484923e-32
3.2360111549336787e-07 1.441567859376397e-32
3.311463862505236e-07 1.4331774497506889e-32
3.388675869043115e-07 1.4253345442219044e-32
3.4676881953794695e-07 1.418024742013883e-32
3.548542818811901e-07 1.411233463926508e-32
3.6312826954049566e-07 1.4049458729210943e-32
3.715951782811629e-07 1.3991465828739603e-32
3.8025950636269697e-07 1.3938210936446795e-32
3.89125856928623e-07 1.3889527565816592e-32
3.9819894045202297e-07 1.3845257738844145e-32
4.0748357723809307e-07 1.3805236112127852e-32
4.169846999850535e-07 1.3769293448019472e-32
4.2670735640476865e-07 1.373725355399372e-32
4.3665671190447213e-07 1.370894203762706e-32
4.4683805233101997e-07 1.368416927674138e-32
4.572567867791303e-07 1.3662746552667174e-32
4.6791845046510194e-07 1.3644477447534282e-32
4.788287076675383e-07 1.3629159301178936e-32
4.899933547366384e-07 1.3616583014848143e-32
5.014183231736547e-07 1.360653278897178e-32
5.131096827821533e-07 1.3598786018162648e-32
5.250736448927506e-07 1.3593112949652007e-32
5.373165656630395e-07 1.3589276868843866e-32
5.4984494945446e-07 1.3587033886661366e-32
5.626654522879044e-07 1.3586133133937218e-32
5.757848853798981e-07 1.3586316584543118e-32
5.892102187612295e-07 1.3587319451837626e-32
6.029485849799565e-07 1.358887037017523e-32
6.17007282890752e-07 1.3590691628866376e-32
6.313937815326057e-07 1.359249961878168e-32
6.461157240969403e-07 1.3594005531527927e-32
6.611809319882495e-07 1.3594915458111249e-32
6.765974089794179e-07 1.3594931568629788e-32
6.923733454639272e-07 1.3593752626810552e-32
7.085171228072106e-07 1.3591074962176014e-32
7.250373177994646e-07 1.3586593582129135e-32
7.419427072122865e-07 1.358000282317763e-32
7.592422724615558e-07 1.3570998024290674e-32
7.769452043790388e-07 1.3559276541652582e-32
7.950609080952509e-07 1.3544539104535977e-32
8.135990080361694e-07 1.3526491447293606e-32
8.325693530364543e-07 1.3504845460279064e-32
8.519820215718901e-07 1.347932101479304e-32
8.718473271138315e-07 1.3449647495175208e-32
8.921758236084957e-07 1.3415565429115475e-32
9.12978311084014e-07 1.337682801836127e-32
9.342658413882192e-07 1.333320282464301e-32
9.560497240602198e-07 1.32844737017812e-32
9.78341532338879e-07 1.3230441577918164e-32
1.0011531093113902e-06 1.3170926778988894e-32
1.0244965742052174e-06 1.3105769950137953e-32
1.048384328826741e-06 1.3034833664767232e-32
1.0728290641500308e-06 1.295800322309841e-32
1.0978437670592484e-06 1.2875188105178717e-32
1.1234417272482566e-06 1.2786322626806235e-32
1.149636544281106e-06 1.2691366753610963e-32
1.1764421348171486e-06 1.2590306570741944e-32
1.2038727400046132e-06 1.2483154696767007e-32
1.2319429330465773e-06 1.2369950262768e-32
1.2606676269433496e-06 1.2250758880443468e-32
1.2900620824153782e-06 1.2125672786155569e-32
1.3201419160108953e-06 1.1994809253661894e-32
1.3509231084026028e-06 1.1858310893720728e-32
1.38242201287781e-06 1.1716344627185682e-32
