# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_7 sigma_5 sigma_4 sigma_3 sigma_2
1.2328467394420658e-05 6.581464173122062e-32 9.52830848446982e-32 1.9867376780333693e-31 4.293615198117603e-31 3.81540459889236e-30 3.42385754840767e-27
1.7073526474706886e-05 4.634853719821692e-32 6.880219403406761e-32 1.4345901294977688e-31 3.1003590995320433e-31 2.7550977120873582e-30 2.4724304892462774e-27
2.3644894126454072e-05 3.2661852881426766e-32 4.968089859300875e-32 1.035896775030629e-31 2.238739959382303e-31 1.9894961164323796e-30 1.7854725874538867e-27
3.274549162877725e-05 2.303271952908231e-32 3.5873838510568025e-32 7.480104733967255e-32 1.6165927272327948e-31 1.4367054989596987e-30 1.289501845451079e-27
4.534878508128582e-05 1.6254603936481478e-32 2.5904106357781165e-32 5.401368109973232e-32 1.1673680072926847e-31 1.037595360502736e-30 9.314656680085935e-28
6.280291441834246e-05 1.1481391512118981e-32 1.870526641074809e-32 3.900401072651713e-32 8.43013450377681e-32 7.494739933007964e-31 6.73066014635169e-28
8.697490026177834e-05 8.119253339123694e-33 1.3507277428794518e-32 2.816649213562922e-32 6.088337179706604e-32 5.415218814025638e-31 4.866628796060008e-28
0.00012045035402587811 5.7510400463575896e-33 9.754124445206389e-33 2.0341864068805075e-32 4.397792004086814e-32 3.9149506355087094e-31 3.5231802661492545e-28
0.0001668100537200059 4.0832737927216244e-33 7.044341859976218e-33 1.4693143541854179e-32 3.1776648488127315e-32 2.8334586960904554e-31 2.5566307683706406e-28
0.0002310129700083158 2.9088639705001685e-33 5.0880688325130204e-33 1.061609213256956e-32 2.2974390754141996e-32 2.0550664291387946e-31 1.863647643158574e-28
0.00031992671377973844 2.0809777319849365e-33 3.676040848445524e-33 7.67457196180094e-33 1.6629515231756282e-32 1.4965316664938432e-31 1.3702549585961626e-28
0.00044306214575838776 1.495273709443272e-33 2.657198068875604e-33 5.553866732084649e-33 1.2063123507963056e-32 1.0981631608326468e-31 1.024078274332516e-28
0.0006135907273413163 1.0783579889522706e-33 1.9225089852892037e-33 4.0269511746754596e-33 8.786233817130014e-33 8.174896311885625e-32 7.89168765644599e-29
0.0008497534359086438 7.797311791257482e-34 1.3932658262431599e-33 2.9300500932762772e-33 6.44700058295282e-33 6.248558520473805e-32 6.433229628763419e-29
0.0011768119524349966 5.65031209154793e-34 1.0125793206941347e-33 2.1447889173113944e-33 4.79203415599431e-33 5.006010428258752e-32 5.789162621835335e-29
0.0016297508346206436 4.104927422285137e-34 7.391576663930372e-34 1.5849801407391352e-33 3.637412914097699e-33 4.338199719743827e-32 6.107811096085733e-29
0.002257019719633917 2.9919071661565986e-34 5.427914252466007e-34 1.1869115662504513e-33 2.846916126649528e-33 4.233402858659375e-32 7.996678722294483e-29
0.0031257158496882354 2.1885139602350707e-34 4.012838548003257e-34 9.029476591079283e-34 2.317900176031494e-33 4.8317910448343824e-32 1.3104197843774638e-28
0.004328761281083053 1.6060888709267476e-34 2.9855284205367062e-34 6.981577141507224e-34 1.9756329872836316e-33 6.587825750779814e-32 2.560488880866365e-28
0.005994842503189409 1.1816672057263032e-34 2.2328572638991246e-34 5.482000426693018e-34 1.7720740893487415e-33 1.0698899693890223e-31 5.614988432741953e-28
0.008302175681319735 8.709929299122624e-35 1.6768139931062985e-34 4.368449024296756e-34 1.6842416977415606e-33 2.020550509341504e-31 1.3245876132433475e-27
0.011497569953977356 6.428375598716025e-35 1.2634278502622808e-34 3.533822694352984e-34 1.713672221021079e-33 4.282828188882328e-31 3.27215202830858e-27
0.01592282793341094 4.7491458135495286e-35 9.547062665482519e-35 2.9063592307280566e-34 1.8928690919448557e-33 9.840992674534883e-31 8.318810694128742e-27
0.022051307399030412 3.511403942059801e-35 7.233909060083794e-35 2.4370498183261473e-34 2.3080661412535042e-33 2.3861268819482387e-30 2.152542566134039e-26
0.030538555088334123 2.598123983070888e-35 5.496312015381271e-35 2.0923442687001578e-34 3.1597315026956946e-33 5.990887111783121e-30 5.629748870141063e-26
0.04229242874389499 1.9237058310252086e-35 4.188242361686126e-35 1.850215019193664e-34 4.917149091785278e-33 1.5377518405267784e-29 1.4818707196500777e-25
0.058570208180566734 1.4253333470756592e-35 3.201575049532247e-35 1.698538654504355e-34 8.714770140650955e-33 4.0016451182362983e-29 3.9154476774847794e-25
0.08111308307896856 1.0568183680189958e-35 2.455915667479182e-35 1.635665604063975e-34 1.737249247226222e-32 1.0500839632830877e-28 1.036859646030567e-24
0.11233240329780265 7.841558123798044e-36 1.8913204540352727e-35 1.6741462416442036e-34 3.80388817144465e-32 2.769442394935873e-28 2.749273724283353e-24
0.15556761439304723 5.822879155650405e-36 1.463003288966338e-35 1.8506136618876395e-34 8.912680131457007e-32 7.325796557844898e-28 7.295113094147877e-24
0.21544346900318778 4.327374054530935e-36 1.137449743084309e-35 2.2496417453897445e-34 2.1866532683275176e-31 1.9412176359449346e-27 1.9364887628601775e-23
0.2983647240283334 3.218714434412004e-36 8.895474852580785e-36 3.061838021052171e-34 5.529247679718383e-31 5.1490568695209386e-27 5.141317754898626e-23
0.41320124001153347 2.3962609563613618e-36 7.004599123983491e-36 4.729187819931661e-34 1.4253328939962778e-30 1.366534613038493e-26 1.3650350830444332e-22
0.572236765935022 1.7856816331128252e-36 5.5604752560098325e-36 8.315923036953177e-34 3.7185644045783286e-30 3.627708071288934e-26 3.623767286748403e-22
0.7924828983539153 1.3320462850652835e-36 4.4569528588404964e-36 1.646217987216938e-33 9.772722238247081e-30 9.631201047026707e-26 9.617221698156453e-22
1.0974987654930546 9.947406429354006e-37 3.614425886480966e-36 3.585251532606468e-33 2.5796896693849556e-29 2.556796842178438e-25 2.551079877721589e-21
1.5199110829529332 7.437187377742435e-37 2.973407545062196e-36 8.368713134778683e-33 6.82733895130535e-29 6.785910737394168e-25 6.762582077235821e-21
2.104904144512022 5.567401490320941e-37 2.4898452907321404e-36 2.0479988214260082e-32 1.8096522969919589e-28 1.800276631688706e-24 1.7915553314707136e-20
2.91505306282517 4.173323783590638e-37 2.131818467656138e-36 5.170132313376263e-32 4.800798429023764e-28 4.773400945815751e-24 4.7448446027199734e-20
4.03701725859655 3.1328735234485263e-37 1.877431263234731e-36 1.3313771499273901e-31 1.2741852042114662e-27 1.2649435989856164e-23 1.256823859554724e-19
5.5908101825122225 2.3555153232433476e-37 1.7139239928067102e-36 3.471217304835524e-31 3.382526160638228e-27 3.3508409541185037e-23 3.330047188047458e-19
7.742636826811277 1.7740620027975078e-37 1.6383730543274362e-36 9.119128377682923e-31 8.979647281957585e-27 8.87585051207614e-23 8.822948313541416e-19
10.72267222010321 1.3386175984716582e-37 1.661062400290874e-36 2.4066032171519428e-30 2.3835138947535627e-26 2.351360694288855e-22 2.3358019632291884e-18
14.849682622544636 1.0120994954337507e-37 1.8142685583568407e-36 6.368383115356046e-30 6.324820448360093e-26 6.228886492017027e-22 6.17094688533768e-18
20.565123083486515 7.669262455649359e-38 2.1733517666387255e-36 1.6878682406119596e-29 1.677598997331186e-25 1.648972016860112e-21 1.6232317818439145e-17
28.48035868435793 5.825662769787488e-38 2.9078514113042497e-36 4.4775210336079236e-29 4.447355074075863e-25 4.357169922244952e-21 4.2341776452013166e-17
39.44206059437648 4.4372270256164886e-38 4.4088002653219755e-36 1.18835656134566e-28 1.1784434661483396e-24 1.1467154805047247e-20 1.0874100142144075e-16
54.62277217684337 3.389883678133508e-38 7.612923342087887e-36 3.1546528598983456e-28 3.121684864628832e-24 2.9943817004168443e-20 2.716039935820924e-16
75.64633275546291 2.5984870789876573e-38 1.4835704193030747e-35 8.374727421541366e-28 8.268619350195414e-24 7.705534681658565e-20 6.473897739058225e-16
104.76157527896619 1.9994200152871193e-38 3.1924818190452204e-35 2.2229752346391232e-27 2.1900054425526815e-23 1.9314430083558347e-19 1.4368129516325855e-15
145.08287784959373 1.54510223827425e-38 7.389469628363183e-35 5.8989578015316324e-27 5.797647398735317e-23 4.630395367329404e-19 2.901467104327583e-15
200.92330025650458 1.1999112534594004e-38 1.7982059428433258e-34 1.5646934365599982e-26 1.5325836487040652e-22 1.0363068001500783e-18 5.279242840475113e-15
278.2559402207126 9.371502918737737e-39 4.522993347894578e-34 4.1481840842010013e-26 4.0379035593284063e-22 2.1143232026854015e-18 8.741625122987164e-15
