# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_9 sigma_7 sigma_6 sigma_5 sigma_4 sigma_3 sigma_2
0.00021295254185213622 2.2683167623536724e-42 2.66142998091254e-42 4.083016392488468e-42 5.5708211401533397e-42 8.763165388572497e-42 2.0151675756402863e-41 2.431458614804241e-40 3.5001383153570835e-37
0.0002687156307025227 1.808231046538152e-42 2.125213421871632e-42 3.273711394524767e-42 4.485804917722852e-42 7.12182756703401e-42 1.688303233178657e-41 2.374699240042655e-40 4.222773795457006e-37
0.0003390806681894053 1.444744943146225e-42 1.700769552404296e-42 2.6338997030220084e-42 3.629581933975293e-42 5.834178340751976e-42 1.4422692171141042e-41 2.5077397374286216e-40 5.731634293006474e-37
0.00042787127506942624 1.1565988903657359e-42 1.3640321943708625e-42 2.126434820397767e-42 2.951185709596619e-42 4.8194870173198123e-42 1.2595872377437241e-41 2.8931759527294456e-40 8.58708704757003e-37
0.0005399123135125903 9.27439982819809e-43 1.0960673254558994e-42 1.7221371507191305e-42 2.4105896833508644e-42 4.0142098159140354e-42 1.1267765735197943e-41 3.6588161653982024e-40 1.381478688859038e-36
0.0006812920690579615 7.446643554977698e-43 8.821499434810799e-43 1.398478402007141e-42 1.9770638651766072e-42 3.3699121366163723e-42 1.0343347487331666e-41 5.05157278130668e-40 2.333864235602796e-36
0.0008596930867190788 5.985281598576153e-43 7.108897819434532e-43 1.1382244588418625e-42 1.6273284103321444e-42 2.8504857725443002e-42 9.76521023611013e-42 7.537138140068115e-40 4.083272145996088e-36
0.0010848096388007434 4.814597276108492e-43 5.734599908952882e-43 9.281768797978402e-43 1.3437571524878161e-42 2.4291841393883722e-42 9.511405962382339e-42 1.1984856798337525e-39 7.338469368772844e-36
0.0013688745095370807 3.875376861040818e-43 4.629781530589793e-43 7.581485889731544e-43 1.1128910612837699e-42 2.0860846100050722e-42 9.59684855326755e-42 2.0020221842600722e-39 1.3482101251594712e-35
0.0017273237219129888 3.121013588604457e-43 3.740383053362836e-43 6.201956796949454e-43 9.243253479709129e-43 1.806182719327386e-42 1.0081832239334745e-41 3.4714872701072336e-39 2.523937581528289e-35
0.0021796353277791203 2.514614582205428e-43 3.0236539702190463e-43 5.080617469164505e-43 7.699147081152082e-43 1.578056113683535e-42 1.1092579616024005e-41 6.195311560545779e-39 4.802033080600438e-35
0.002750387840931946 2.0268430451681203e-43 2.445601990451783e-43 4.167782880836206e-43 6.432127619688319e-43 1.3929596730157835e-42 1.286289406597882e-41 1.1315040639173393e-38 9.260891440616351e-35
0.0034705958281810684 1.6342910042862992e-43 1.9790875881850906e-43 3.423740711731067e-43 5.390733649285171e-43 1.2442266487696707e-42 1.5814683742355892e-41 2.1068432138353705e-38 1.8055099357493312e-34
0.00437939523413049 1.318235270776047e-43 1.6023781140312696e-43 2.8165973499638103e-43 4.5336161030449625e-43 1.1268882683077535e-42 2.0711711084476584e-41 3.987756351912437e-38 3.5496651168662007e-34
0.0055261700198540875 1.0636739043834707e-43 1.2980338943970219e-43 2.3206490790535753e-43 3.827395909861983e-43 1.0374617249013689e-42 2.8951295152428983e-41 7.65307272255423e-38 7.022635287490128e-34
0.00697323567654597 8.585719193881491e-44 1.0520392520698e-43 1.9151281558893185e-43 3.2450416657511303e-43 9.7388996892131e-43 4.311329076071923e-41 1.4855812607925e-37 1.3957565730555207e-33
0.008799225435691074 6.932660543355913e-44 8.53118089406865e-44 1.5832235009427737e-43 2.7646192411400605e-43 9.356509422017135e-43 6.798793991768316e-41 2.9100995415348365e-37 2.7832956592170638e-33
0.011103363181676366 5.599923786042105e-44 6.9219110602088e-44 1.3113075203876045e-43 2.3683153864935456e-43 9.24098652739882e-43 1.1251527605736926e-40 5.740753868409122e-37 5.563319978656402e-33
0.014010855255980158 4.525098954272673e-44 5.619432616648346e-44 1.088320866472531e-43 2.041669046037914e-43 9.431706854189092e-43 1.9352259850982833e-40 1.138461399116537e-36 1.1138556311132111e-32
0.017679694142400303 3.6579981566419394e-44 4.564779487831394e-44 9.052801576468488e-44 1.7729644825392817e-43 1.0007274843319765e-42 3.4307176692375703e-40 2.266449173045804e-36 2.2326562330664747e-32
0.022309243744089834 2.958248433076422e-44 3.7103986480576793e-44 7.548825622825911e-44 1.5527540735441726e-43 1.1110378086888552e-42 6.23039664486462e-40 4.52462657533973e-36 4.4787158924360095e-32
0.028151072774477325 2.3933625211833847e-44 3.0179258950109403e-44 6.311873358653714e-44 1.373488666344512e-43 1.2994073762448787e-42 1.1541766637402244e-39 9.050628029136639e-36 8.989038345876219e-32
0.03552262494616661 1.9371912790455037e-44 2.4563987257007013e-44 5.293588611059484e-44 1.229241628509122e-43 1.6108788625802596e-42 2.174226501631134e-39 1.812920849538548e-35 1.8047885755674111e-31
0.044824468792893084 1.5686814701964895e-44 2.0008192741297302e-44 4.454590538612672e-44 1.1155207864497555e-43 2.1266891303462333e-42 4.1544254363824806e-39 3.634962009201195e-35 3.6244554194984975e-31
0.0565620644760902 1.2708781816458592e-44 1.630998046870201e-44 3.762795206633493e-44 1.02917204290167e-43 2.995383414954935e-42 8.03317553684312e-39 7.293089964024093e-35 7.279959255694499e-31
0.07137323037957849 1.0301233983333203e-44 1.3306231461772892e-44 3.192058117829976e-44 9.68392143740283e-44 4.4912761567646585e-42 1.568482506711601e-38 1.4639372716102168e-34 1.4623867375331173e-30
0.09006280202112776 8.354119633802147e-45 1.0865107086525985e-44 2.721076567892889e-44 9.328902286450664e-44 7.123893368292866e-42 3.086041100743252e-38 2.9394708726528093e-34 2.937833569432882e-30
0.11364636663857243 6.778738756292708e-45 8.880010660143135e-45 2.33250301794114e-44 9.242767257480536e-44 1.184482082339038e-41 6.107637621784585e-38 5.903480020918113e-34 5.9021896125493885e-30
0.14340544997832724 5.503580379979122e-45 7.264721407089309e-45 2.0122306584901222e-44 9.468299692012928e-44 2.0447266752649567e-41 1.2140783608321706e-37 1.185794655796235e-33 1.1858034586759062e-29
0.1809571541243322 4.4709749689554254e-45 5.949471942714148e-45 1.7488205899071572e-44 1.0089275432632222e-43 3.6352654597174294e-41 2.4210835905598198e-37 2.382061415724715e-33 2.3824320439150144e-29
0.22834203047182694 3.634401570065917e-45 4.8777853809302283e-45 1.533047089691308e-44 1.1256938714932877e-43 6.617243880326879e-41 4.8391776530222296e-37 4.785468818481353e-33 4.7866596713236496e-29
0.2881349628441459 2.956321158247124e-45 4.003924195918315e-45 1.357543802513861e-44 1.3239303783811699e-43 1.2282199518551561e-40 9.68816022168888e-37 9.614227094152012e-33 9.617128220423046e-29
0.36358508611685775 2.4064329583940657e-45 3.290831894262433e-45 1.2165399949402915e-44 1.6513875396655026e-43 2.3175064411092153e-40 1.9418093054668215e-36 1.9315934293064944e-32 1.9322163725717591e-28
0.45879234349670894 1.9602708441489913e-45 2.708471790679818e-45 1.1056831329172764e-44 2.194307626951426e-43 4.4343111790412074e-40 3.895061989194298e-36 3.8808192158970195e-32 3.882038071630617e-28
0.5789302765393113 1.5980732197746313e-45 2.2324858574563565e-45 1.021953363830817e-44 3.110575485057026e-43 8.584117599049387e-40 7.817291685052794e-36 7.797104037441996e-32 7.799247964252904e-28
0.7305271542664449 1.3038728786649877e-45 1.8431116336950558e-45 9.636894725716415e-45 4.691963637722263e-43 1.6775769015599953e-39 1.5694846557621646e-35 1.5665406556657357e-31 1.5668538875257338e-27
0.9218207178777464 1.0647638387449891e-45 1.5243072558895184e-45 9.307690965864397e-45 7.480686055538213e-43 3.3030168680000566e-39 3.151847043505761e-35 3.147345329160035e-31 3.147602066307693e-27
1.1632058178068951 8.703105915773588e-46 1.2630443853117081e-45 9.250272042283352e-45 1.2490086730679872e-42 6.5405622857971e-39 6.330610066175078e-35 6.323197984586454e-31 6.322653234421233e-27
1.4677992676220706 7.120719776605656e-46 1.0487366244900462e-45 9.510732938768567e-45 2.1631914093923392e-42 1.3006583350179068e-38 1.2716707459630751e-34 1.2703201556979783e-30 1.2699376303452132e-26
1.8521526088081706 5.8321734336762294e-46 8.72777306799696e-46 1.0178136134214111e-44 3.855854894406498e-42 2.594519712740703e-38 2.5546789069943434e-34 2.5519217583454362e-30 2.5505310986063787e-26
2.3371515179132776 4.782170083271187e-46 7.281656089094221e-46 1.1412674077614958e-44 7.033610493164393e-42 5.187002829205522e-38 5.132386112428952e-34 5.1261751478265834e-30 5.122180926292771e-26
2.949150729647068 3.925925864074506e-46 6.092040159064743e-46 1.3498163190753758e-44 1.307814527964398e-41 1.0386253335167327e-37 1.031135613086283e-33 1.0296461723446001e-29 1.0286632958709607e-25
3.721406147404331 3.2271552784896028e-46 5.1125345659606896e-46 1.6940853083547662e-44 2.471405309820439e-41 2.081984105120675e-37 2.0716668109180328e-33 2.068008644997138e-29 2.0658724760070175e-25
4.695881961786349 2.656445206399877e-46 4.305350772603999e-46 2.2656414927863024e-44 4.73477818607982e-41 4.176604254792429e-37 4.162239679831114e-33 4.1533050188385025e-29 4.149116192301895e-25
5.925530975545675 2.1899421510930157e-46 3.6396976143190636e-46 3.2323119297202153e-44 9.175339348255659e-41 8.382854734410042e-37 8.362444609901983e-33 8.341127869063616e-29 8.333505300714294e-25
7.477172047313224 1.808292041346929e-46 3.0904823235553023e-46 4.9044553853884e-44 1.7946076741373815e-40 1.6831042065445738e-36 1.6800970443188726e-32 1.675169066695659e-28 1.673814172603917e-24
9.435121013771044 1.4957837248725422e-46 2.6372597622415505e-46 7.859103753376575e-44 3.5356929384963576e-40 3.380114889877007e-36 3.3754060215588827e-32 3.3643781886951535e-28 3.361805662008428e-24
