# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma, unit: cm2 MeV4, datatype: float64}
# schema: astropy-2.0
mx sigma
0.00011818777931701482 3.469011151606791e-39
0.0001209435139311377 3.5407253362383537e-39
0.00012376350284724815 3.6168754663198275e-39
0.00012664924425581149 3.6977761890507784e-39
0.00012960227127996844 3.783767521388898e-39
0.00013262415279004548 3.875217077524851e-39
0.00013571649423705693 3.9725224964122003e-39
0.0001388809385056415 4.0761140862470146e-39
0.00014211916678688624 4.186457703934168e-39
0.00014543289947150178 4.3040578887513867e-39
0.0001488238970638237 4.429461270624003e-39
0.00015229396111712465 4.563260274651197e-39
0.00015584493519073535 4.7060971447777224e-39
0.00015947870582948208 4.8586683107869895e-39
0.00016319720356596128 5.021729124109201e-39
0.00016700240394618395 5.196098989306606e-39
0.00017089632857913436 5.382666919539385e-39
0.000174881046210801 5.582397545864631e-39
0.00017895867382325032 5.7963376119244985e-39
0.0001831313777593269 6.025622987502843e-39
0.00018740137487357792 6.271486236654881e-39
0.00019177093371001327 6.535264778746903e-39
0.000196242375707327 6.818409683909033e-39
0.00020081807643222024 7.122495148253237e-39
0.00020550046684148122 7.449228698912114e-39
0.0002102920345734925 7.800462184698479e-39
0.0002151953252698519 8.178203615169989e-39
0.00022021294392780895 8.584629919306301e-39
0.00022534755628423554 9.02210070505536e-39
0.0002306018902318662 9.493173112841628e-39
0.00023597873726856003 1.0000617869867316e-38
0.0002414809539803547 1.0547436667732681e-38
0.0002471114635590999 1.1136881003527576e-38
0.00025287325735547713 1.1772472643989504e-38
0.00025876939646823026 1.2458025893371588e-38
0.00026480301337045197 1.3197671868016056e-38
0.000270977313573789 1.399588500391047e-38
0.00027729557733145163 1.4857512047297353e-38
0.00028376116138093086 1.5787803802298784e-38
0.0002903775007273506 1.6792449933150723e-38
0.00029714811046840066 1.787761714178189e-38
0.00030407658766182135 1.9049991064070436e-38
0.00031116661323643183 2.0316822250355998e-38
0.0003184219539477161 2.168597661814117e-38
0.00032584646437900766 2.3165990788140464e-38
0.00033344408898933415 2.4766132739953387e-38
0.0003412188642090111 2.649646825190245e-38
0.0003491749205840977 2.836793362238537e-38
0.0003573164849708539 3.0392415208885216e-38
0.0003656478827813646 3.258283636694632e-38
0.0003741735402815245 3.495325242617145e-38
0.0003828979869426037 3.7518954404591144e-38
0.000391825857847644 4.0296582237255674e-38
0.000400961896153964 4.3304248379947075e-38
0.0004103109556130814 4.6561672744563737e-38
0.0004198780031493915 5.009033002885045e-38
0.00042966812149897106 5.391361061950525e-38
0.000439686511909911 5.80569963741117e-38
0.0004499384969056106 6.254825272382705e-38
0.00046042952311250296 6.74176386856277e-38
0.0004711651641537129 7.26981365308939e-38
0.00048215112361018567 7.842570302737871e-38
0.0004933932380508582 8.463954435576489e-38
0.0005048974801334842 9.138241700207179e-38
0.0005166699617777604 9.870095714544355e-38
0.0005287169374124361 1.0664604129984591e-37
0.0005410448072981404 1.1527318123056717e-37
0.0005536601209276797 1.2464295645481828e-37
0.0005665695805056229 1.3482148795291455e-37
0.0005797800445090163 1.4588095706519145e-37
0.0005932985313311235 1.5790017393283228e-37
0.000607132223010125 1.7096520026114108e-37
0.0006212884690447563 1.8517003164468874e-37
0.0006357747902989163 2.0061734519877076e-37
0.0006505988829973161 2.1741931879458695e-37
0.0006657686228142928 2.3569852880088583e-37
0.0006812920690579615 2.5558893389723438e-37
0.0006971774689519261 2.7723695324891715e-37
0.0007134332620168255 3.008026481265007e-37
0.0007300680845540431 3.2646101692075795e-37
0.0007470907742339592 3.5440341445288642e-37
0.0007645103747911887 3.8483910751855e-37
0.0007823361408292924 4.1799697974062915e-37
0.00080057754273752 4.541274000490945e-37
0.0008192442717221943 4.935042704673957e-37
0.0008383462449554094 5.3642727037457775e-37
0.0008578936108437789 5.832243160436643e-37
0.0008778967544200344 6.342542560435972e-37
0.000898366302860337 6.89909825049732e-37
0.0009193131311302326 7.506208807537308e-37
0.0009407483677622533 8.16857950916731e-37
0.000962683400768232 8.891361201910011e-37
0.000985129883689471 9.680192891683696e-37
0.0010080997417879817 1.054124841224403e-36
0.0010316051783820807 1.1481287561442083e-36
0.0010556586813297128 1.2507712132704018e-36
0.0010802730296629402 1.362862731040885e-36
0.001105461300377127 1.4852908943216583e-36
0.0011312368753784248 1.6190277259295365e-36
0.0011576134485932472 1.7651377642267193e-36
0.0011846050332435167 1.9247869147029554e-36
0.0012122259692915415 2.0992521500949458e-36
0.0012404909310584848 2.2899321408843776e-36
0.0012694149350204683 2.4983589060277846e-36
0.0012990133477864558 2.726210582570352e-36
0.0013293018942621524 2.9753254224537717e-36
0.001360296666004259 3.247717135423127e-36
0.001392014129769518 3.5455917085530594e-36
0.0014244711362630968 3.8713658456396394e-36
0.0014576849290909482 4.2276871836397894e-36
0.0014916731539209149 4.617456458592114e-36
0.0015264538678574353 5.043851810138958e-36
0.0015620455490348386 5.510355432020109e-36
0.0015984671064343198 6.020782795867406e-36
0.0016357378899298156 6.579314697458315e-36
0.0016738777005681136 7.190532398464674e-36
0.0017129068010886602 7.859456162862789e-36
0.0017528459266886532 8.59158751577808e-36
0.00179371629603914 9.392955583874671e-36
0.0018355396225579732 1.027016791074876e-35
0.0018783381259456144 1.1230466178455905e-35
0.0019221345439899109 1.2281787307640697e-35
0.001966952144646121 1.3432830454119624e-35
0.0020128147383986056 1.4693130469604604e-35
0.002059746690910748 1.607313844899252e-35
0.0021077729359698315 1.7584310046766512e-35
0.0021569189887337423 1.9239202311078214e-35
0.002207210959286545 2.1051579856567717e-35
0.0022586755665101248 2.3036531276535938e-35
0.0023113401522792685 2.5210596782370175e-35
0.0023652326959877285 2.759190815385299e-35
0.0024203818294129824 3.0200342188942585e-35
0.0024768168519275916 3.305768895665865e-35
0.002534567746065232 3.6187836282794807e-35
0.0025936651934496745 3.961697203635672e-35
0.0026541405910951734 4.3373805936058683e-35
0.0027160260680869266 4.7489812762187403e-35
0.0027793545026504624 5.199949904107881e-35
0.002844159539619031 5.694069546891896e-35
0.0029104756083082714 6.235487756028593e-35
0.0029783379408076585 6.828751724668362e-35
0.0030477825906984404 7.478846841333333e-35
0.0031188464522080173 8.191238965094332e-35
0.0031915672798109355 8.971920781552512e-35
0.0032659837082868936 9.827462633626233e-35
0.003342135273246469 1.076506825919208e-34
0.0034200624321353945 1.179263590935158e-34
0.0034998065857286074 1.291882536685142e-34
0.0035814101001254554 1.4153131434357562e-34
0.003664916329257761 1.550596451730315e-34
0.0037503696379226933 1.6988738986361456e-34
0.0038378154253526898 1.8613970070752456e-34
0.003927300149334948 2.039538010613782e-34
0.004018871350893299 2.2348015040409745e-34
0.00411257767954558 2.4488372187913705e-34
0.004208468919149921 2.6834540318302593e-34
0.004306596014353682 2.940635327111645e-34
0.004407011097659079 3.2225558402208238e-34
0.004509767517119906 3.5316001294272413e-34
0.004614919864684026 3.870382830204895e-34
0.004722524005196735 4.241770865445222e-34
0.004832637106080367 4.648907800219608e-34
0.004945317667705937 5.095240548187458e-34
0.005060625554472947 5.584548656745694e-34
0.005178622026613854 6.1209764199471384e-34
0.005299369772740128 6.7090680922650044e-34
0.005422932943147155 7.353806502653001e-34
0.0055493771838957115 8.060655397269195e-34
0.00567876967168809 8.835605870944746e-34
0.005811179149557424 9.68522728225223e-34
0.0059466759633891655 1.0616723085161579e-33
0.006085332099294114 1.1637992052086767e-33
0.006227221221852859 1.2757695408979553e-33
0.006372418713251954 1.3985330453432276e-33
0.006521001713332612 1.5331311281757678e-33
0.006673049160573193 1.6807057311794253e-33
0.006828641834027273 1.8425090354034047e-33
0.006987862396239558 2.019914105735156e-33
0.00715079543716245 2.214426563160975e-33
0.007317527519096606 2.427697384807563e-33
0.007488147222679345 2.661536938886374e-33
0.007662745193945353 2.917930377150027e-33
0.007841414192484688 3.199054510008704e-33
0.008024249140723652 3.507296317754096e-33
0.008211347174354735 3.845273238672461e-33
0.008402807693942412 4.215855433850449e-33
0.008598732417732204 4.622190174490802e-33
0.008799225435691074 5.067728627186858e-33
0.009004393264807849 5.556255171944463e-33
0.009214344905683071 6.091919581074152e-33
0.009429191900438323 6.679272356959935e-33
0.009649048391975805 7.323303349826976e-33
0.009874031184619632 8.029484235606735e-33
0.010104259806171096 8.803814981928327e-33
0.01033985657141083 9.652875060388372e-33
0.010580946647081629 1.0583879129964336e-32
0.010827658118386449 1.1604738555855674e-32
0.011080122057036918 1.2724128502241373e-32
0.011338472590888495 1.3951562253644118e-32
0.01160284697519928 1.5297471344439348e-32
0.01187338566555036 1.6773294757291584e-32
0.012150232392466372 1.839157608872734e-32
0.012433534237775993 2.0166070224737285e-32
0.01272344171275288 2.2111860318695876e-32
