# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_9 sigma_7 sigma_6 sigma_5 sigma_4 sigma_3 sigma_2
5.892102187612295e-07 3.2520246831047067e-43 4.4465804718704775e-43 1.6436088525987926e-42 2.4453224610474584e-41 6.121130836522818e-38 1.4719173569838203e-34 1.9618290446964769e-31 4.8899653241775925e-31
6.029485849799565e-07 3.260793469767935e-43 4.46299041636303e-43 1.6650238587839082e-42 2.576536884013034e-41 6.641743404752219e-38 1.6095582000764148e-34 2.1512334028620135e-31 5.362223110041213e-31
6.17007282890752e-07 3.2696096729885476e-43 4.479521918035267e-43 1.6869588551682888e-42 2.716879645530612e-41 7.203085320784837e-38 1.7602803452528984e-34 2.3589271062376884e-31 5.880090671013482e-31
6.313937815326057e-07 3.2784736779559344e-43 4.49617633188421e-43 1.709431338084693e-42 2.867086753217529e-41 7.807907101931546e-38 1.9253371974777708e-34 2.5866763761585454e-31 6.447972941022629e-31
6.461157240969403e-07 3.2873858746269035e-43 4.512955033285734e-43 1.732459533200861e-42 3.0279595975225094e-41 8.459108432749856e-38 2.106102743048767e-34 2.8364180072640233e-31 7.070700278193884e-31
6.611809319882495e-07 3.2963466575422102e-43 4.5298594181206855e-43 1.756062431237233e-42 3.2003711266463865e-41 9.159746471562171e-38 2.3040831730383333e-34 3.110275841006205e-31 7.753569551946268e-31
6.765974089794179e-07 3.305356424556233e-43 4.54689090317983e-43 1.7802598256797085e-42 3.385272622148928e-41 9.913045453233464e-38 2.5209296282669496e-34 3.410578830137976e-31 8.502389198239386e-31
6.923733454639272e-07 3.3144155790638714e-43 4.564050926794004e-43 1.8050723526125006e-42 3.5837011334474324e-41 1.0722407830324785e-37 2.758452174094162e-34 3.7398808478613066e-31 9.323528626273997e-31
7.085171228072106e-07 3.3235245271335027e-43 4.58134094873395e-43 1.830521532803939e-42 3.796787634802167e-41 1.1591427211136503e-37 3.018635123722587e-34 4.100982410095869e-31 1.0223972396814439e-30
7.250373177994646e-07 3.332683681162356e-43 4.598762451256247e-43 1.856629816188129e-42 4.0257659742251974e-41 1.2523903366456181e-37 3.3036538402093324e-34 4.496954495648622e-31 1.1211379633006326e-30
7.419427072122865e-07 3.3418934580497287e-43 4.616316939019334e-43 1.8834206288942108e-42 4.271982690072521e-41 1.3523859586611557e-37 3.615893159956932e-34 4.931164666918705e-31 1.2294149169093786e-30
7.592422724615558e-07 3.3511542767551908e-43 4.634005939708418e-43 1.9109184229872197e-42 4.536907777919752e-41 1.4595562676282961e-37 3.957967594200693e-34 5.407305713288933e-31 1.3481490991118578e-30
7.769452043790388e-07 3.360466564362538e-43 4.651831004485769e-43 1.9391487290941523e-42 4.822146497716106e-41 1.5743545877280353e-37 4.332743480125171e-34 5.9294270608087555e-31 1.4783504577192736e-30
7.950609080952509e-07 3.3698307509364397e-43 4.669793708454223e-43 1.968138212102952e-42 5.129452319198224e-41 1.6972635009096814e-37 4.743363269968905e-34 6.50196921551459e-31 1.6211264804150373e-30
8.135990080361694e-07 3.3792472710351747e-43 4.687895651035331e-43 1.9979147301339743e-42 5.460741112170351e-41 1.8287978113843518e-37 5.193272164300725e-34 7.129801533052326e-31 1.7776916150534234e-30
8.325693530364543e-07 3.3887165644977253e-43 4.7061384564989095e-43 2.0285073969993123e-42 5.818106697566943e-41 1.9695078888785717e-37 5.686247316064841e-34 7.8182636362231876e-31 1.949377599809454e-30
8.519820215718901e-07 3.3982390769817117e-43 4.7245237744966225e-43 2.0599466483791036e-42 6.203837885264211e-41 2.119983418478377e-37 6.22642985335494e-34 8.573210832426068e-31 2.137644790968075e-30
8.718473271138315e-07 3.4078152584673834e-43 4.7430532804404575e-43 2.0922643119626048e-42 6.620437135456328e-41 2.2808575846784906e-37 6.8183599932607695e-34 9.401063917564236e-31 2.3440945847692576e-30
8.921758236084957e-07 3.4174455625204905e-43 4.7617286759958425e-43 2.1254936818178755e-42 7.070640992133798e-41 2.452811717200477e-37 7.467015545136698e-34 1.0308863789916243e-30 2.5704830389370275e-30
9.12978311084014e-07 3.427130450117819e-43 4.780551689773379e-43 2.159669597274623e-42 7.557442449873271e-41 2.636580426565669e-37 8.177854130573948e-34 1.130433133854164e-30 2.818735809764325e-30
9.342658413882192e-07 3.436870386668619e-43 4.799524077689575e-43 2.1948285266255896e-42 8.084115428864418e-41 2.8329572584016467e-37 8.956859478920925e-34 1.2395933115598514e-30 3.0909645318009763e-30
9.560497240602198e-07 3.4466658433081674e-43 4.818647623646053e-43 2.23100865597351e-42 8.654241547969226e-41 3.042800897165605e-37 9.810592191987946e-34 1.3592953351338883e-30 3.389484779510597e-30
9.78341532338879e-07 3.4565172951274708e-43 4.8379241398237045e-43 2.268249983576563e-42 9.271739401757122e-41 3.2670419523347125e-37 1.0746245409243851e-33 1.4905572924045181e-30 3.716835763605368e-30
1.0011531093113902e-06 3.46642522429612e-43 4.857355467678676e-43 2.3065944200705296e-42 9.94089656503799e-41 3.506690363617563e-37 1.1771705846945485e-33 1.6344955956961868e-30 4.075801929680487e-30
1.0244965742052174e-06 3.4763901179299425e-43 4.8769434780790796e-43 2.3460858949749534e-42 1.0666404567589482e-40 3.762843465895129e-37 1.289562072995716e-33 1.7923344778633765e-30 4.4694366428220106e-30
1.048384328826741e-06 3.4864124680277093e-43 4.89669007217107e-43 2.3867704699214527e-42 1.1453397102756248e-40 4.03669475988036e-37 1.412747118512011e-33 1.965416405418603e-30 4.9010881596011384e-30
1.0728290641500308e-06 3.4964927736251655e-43 4.916597181942478e-43 2.4286964590759776e-42 1.2307491756607336e-40 4.32954344080189e-37 1.547765272055837e-33 2.1552134973899455e-30 5.374428108526938e-30
1.0978437670592484e-06 3.5066315387003124e-43 4.93666677079514e-43 2.471914557262299e-42 1.3234835569646595e-40 4.642804744460628e-37 1.6957563474606606e-33 2.3633400469645862e-30 5.893482721032863e-30
1.1234417272482566e-06 3.5168292732636923e-43 4.956900834158573e-43 2.516477976334226e-42 1.4242154770985817e-40 4.978021178273671e-37 1.857970098487469e-33 2.591566252460668e-30 6.462667078732305e-30
1.149636544281106e-06 3.5270864925495215e-43 4.977301400246873e-43 2.5624425903860844e-42 1.5336809055736479e-40 5.336874713973271e-37 2.035776830047348e-33 2.841833274464393e-30 7.086822668354286e-30
1.1764421348171486e-06 3.5374037196362963e-43 4.9978705306814626e-43 2.609867090436633e-42 1.652685081055882e-40 5.721200028461394e-37 2.2306790338845322e-33 3.1162697471045874e-30 7.771258563544493e-30
