# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_5 sigma_3 sigma_2
3.274549162877725e-05 4.1421727980172674e-36 1.0301229288558572e-29 1.0247263152964279e-25
4.534878508128582e-05 4.137217127138315e-36 2.728635584065671e-29 2.7172142391428537e-25
6.280291441834246e-05 4.9010934188860045e-36 7.233473230957341e-29 7.199644364980633e-25
8.697490026177834e-05 7.014800853180222e-36 1.917772563896083e-28 1.9042470287246476e-24
0.00012045035402587811 1.1953778873773447e-35 5.081448333867102e-28 5.0185718399091254e-24
0.0001668100537200059 2.3411657903482466e-35 1.3442488639927468e-27 1.3135878211903667e-23
0.0002310129700083158 5.077218418894495e-35 3.54429121854089e-27 3.3945339054073e-23
0.00031992671377973844 1.1823960072202357e-34 9.285230477749085e-27 8.571388085487411e-23
0.00044306214575838776 2.8892979116350117e-34 2.4034548140229532e-26 2.0799104144842104e-22
0.0006135907273413163 7.2864080798895695e-34 6.086928188015457e-26 4.739040507463213e-22
0.0008497534359086438 1.8749245069631164e-33 1.484396454434526e-25 9.890600660515588e-22
0.0011768119524349966 4.885668634317873e-33 3.4077293360916012e-25 1.86196234506e-21
0.0016297508346206436 1.282966489936285e-32 7.182253302505322e-25 3.173180671982622e-21
0.002257019719633917 3.384656118239713e-32 1.3665018266560361e-24 4.995001389980926e-21
0.0031257158496882354 8.953163361994862e-32 2.3506361846933253e-24 7.448196555066197e-21
0.004328761281083053 2.3716895121007366e-31 3.725688298211872e-24 1.0744691106610814e-20
0.005994842503189409 6.2860086489986255e-31 5.580002723295712e-24 1.5210739583830087e-20
0.008302175681319735 1.665668434231764e-30 8.070494280117658e-24 2.131192930752349e-20
0.011497569953977356 4.408430509290175e-30 1.1441401019699014e-23 2.9696388836221435e-20
0.01592282793341094 1.1636164051739028e-29 1.604321440915097e-23 4.125914207435822e-20
0.022051307399030412 3.0550557744366454e-29 2.2364085335272603e-23 5.723752175334145e-20
0.030538555088334123 7.940347100166759e-29 3.10788643459281e-23 7.934281098788096e-20
0.04229242874389499 2.0258239111741552e-28 4.312005548023693e-23 1.0994665015294458e-19
0.058570208180566734 5.002506691904936e-28 5.977809526350322e-23 1.523421077879079e-19
0.08111308307896856 1.1708746196152364e-27 8.284179926344256e-23 2.111135817973951e-19
0.11233240329780265 2.5329153152511427e-27 1.1479696258641135e-22 2.9268788608123447e-19
0.15556761439304723 4.9619393024299876e-27 1.5911140261872766e-22 4.061450679175965e-19
0.21544346900318778 8.76658004287497e-27 2.2065739247471557e-22 5.64579139376012e-19
0.2983647240283334 1.4179380966619206e-26 3.0636817093869077e-22 7.874742728431541e-19
0.41320124001153347 2.1521152305604816e-26 4.263386400010378e-22 1.1054172357981991e-18
0.572236765935022 3.137430510808863e-26 5.9584672466517e-22 1.5703497350224506e-18
0.7924828983539153 4.467750826176763e-26 8.394466757638122e-22 2.2796819827652395e-18
1.0974987654930546 6.280007293161358e-26 1.1999080715401865e-21 3.436078193198752e-18
1.5199110829529332 8.76599476838795e-26 1.758709641468824e-21 5.499546124911176e-18
2.104904144512022 1.219140101101521e-25 2.6840303387363994e-21 9.577485382292895e-18
2.91505306282517 1.6924048564533504e-25 4.3448635135623965e-21 1.8418078873002588e-17
4.03701725859655 2.347445245959819e-25 7.588963645846631e-21 3.889313960500198e-17
5.5908101825122225 3.2554017653945343e-25 1.443708908576615e-20 8.791780345113744e-17
7.742636826811277 4.5159899314749e-25 2.98210280535105e-20 2.0524737741399167e-16
10.72267222010321 6.270226711998616e-25 6.57752220680051e-20 4.761569156052965e-16
14.849682622544636 8.720276571109477e-25 1.5065947516318601e-19 1.056665568300823e-15
20.565123083486515 1.2161930934914109e-24 3.460053230744164e-19 2.169061625536302e-15
28.48035868435793 1.7040677192337554e-24 7.667568996138795e-19 4.03848195527676e-15
39.44206059437648 2.405376494350345e-24 1.5819877642923012e-18 6.831671601489888e-15
54.62277217684337 3.434531325053842e-24 2.969961798805036e-18 1.0703821767672686e-14
75.64633275546291 4.9896167658854874e-24 5.065837514325017e-18 1.5916314371858597e-14
104.76157527896619 7.433641558157458e-24 7.987647543865111e-18 2.2924306799202802e-14
145.08287784959373 1.147125278262206e-23 1.1927026878709487e-17 3.242553875662167e-14
200.92330025650458 1.8550156766417932e-23 1.7221222746481615e-17 4.541013768551168e-14
278.2559402207126 3.1811231786144984e-23 2.4391765190524586e-17 6.325908837064049e-14
385.352859371052 5.841031441388779e-23 3.418538216405913e-17 8.787603023255923e-14
533.6699231206302 1.1526726609166376e-22 4.764121809940193e-17 1.2189897548210774e-13
739.0722033525775 2.4304726104544054e-22 6.619516448568654e-17 1.6895639250051325e-13
1023.5310218990269 5.379623186789253e-22 9.183088689230701e-17 2.341190037666206e-13
1417.474162926802 1.2140968394935849e-21 1.272902888389055e-16 3.243983130452088e-13
1963.0406500402685 2.6918770864098923e-21 1.7636295641587396e-16 4.4894538112136607e-13
2718.58824273294 5.640597711933811e-21 2.443009839328906e-16 6.215899128516124e-13
3764.935806792456 1.0843908385116526e-20 3.3837280875155726e-16 8.607240820287412e-13
5214.0082879996735 1.8945831155854803e-20 4.686470331962627e-16 1.1935966263782242e-12
7220.8090183854565 3.0443771023543765e-20 6.490328094263161e-16 1.6528780034021314e-12
10000.0 4.603509203687362e-20 8.989183602260466e-16 2.2877561159718694e-12
