# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_7 sigma_5 sigma_4 sigma_3 sigma_2
1.2328467394420658e-05 8.349221887615002e-40 1.3087179021995775e-39 2.7291018439521502e-39 5.899345904845116e-39 5.248176591619743e-38 4.718019592987296e-35
1.7073526474706886e-05 5.893829996368954e-40 9.450916231145214e-40 1.971029527515978e-39 4.261592512681837e-39 3.79516637075342e-38 3.417480828392728e-35
2.3644894126454072e-05 4.1646725320281e-40 6.8255896774294065e-40 1.4237920247406584e-39 3.0796876854683086e-39 2.748122325033388e-38 2.482552449195282e-35
3.274549162877725e-05 2.946796064973349e-40 4.9303716461816064e-40 1.0288514504210955e-39 2.2272023891575614e-39 1.995057528008534e-38 1.8133137819815094e-35
4.534878508128582e-05 2.0891628392389483e-40 3.562525864728347e-40 7.439584559664707e-40 1.6129383237782657e-39 1.4554518333864155e-38 1.338408056041029e-35
6.280291441834246e-05 1.4854585330438946e-40 2.5757117243702985e-40 5.3862936015781004e-40 1.1711624681766136e-39 1.0716725484424156e-38 1.0076527110630946e-35
8.697490026177834e-05 1.0605857983990338e-40 1.864306338275928e-40 3.908765057226956e-40 8.54549966556828e-40 8.028973061140979e-39 7.87336212876402e-36
0.00012045035402587811 7.612342333520961e-41 1.3520511989665337e-40 2.848355441678757e-40 6.290597819386821e-40 6.209716266458579e-39 6.584591788279999e-36
0.0001668100537200059 5.49532592282003e-41 9.83784794788961e-41 2.090258128923538e-40 4.701584541209853e-40 5.079541749541794e-39 6.198782829149285e-36
0.0002310129700083158 3.9888693368785405e-41 7.193840678041708e-41 1.5505623521437653e-40 3.5996232617445465e-40 4.555319299186005e-39 7.020182034606275e-36
0.00031992671377973844 2.9093429089929075e-41 5.294076758542054e-41 1.1668574300743476e-40 2.8510852580445712e-40 4.673203025784769e-39 1.0008671911855998e-35
0.00044306214575838776 2.130492245178626e-41 3.922432010195832e-41 8.924616112634441e-41 2.3551034720378515e-40 5.6736083229882945e-39 1.7492832352430092e-35
0.0006135907273413163 1.5650134837601966e-41 2.923696081261665e-41 6.936191775609129e-41 2.0401899827078622e-40 8.234269017888562e-39 3.492643390102257e-35
0.0008497534359086438 1.1522398319469065e-41 2.1897877195469657e-41 5.472686612348635e-41 1.8635685016123244e-40 1.404529566607304e-38 7.555897344586697e-35
0.0011768119524349966 8.497061028764033e-42 1.646341435048939e-41 4.381789639320672e-41 1.809174958454236e-40 2.7177536909850396e-38 1.7249464591380239e-34
0.0016297508346206436 6.273422224093695e-42 1.2416528443490577e-41 3.56267597911097e-41 1.888565872094937e-40 5.743615354861427e-38 4.102225363645983e-34
