# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_6
2.0932486549653353e-06 2.8331979626525848e-33
2.1420560511935146e-06 3.0350127410817826e-33
2.192001468898943e-06 3.251252170765092e-33
2.2431114428485372e-06 3.482948391815505e-33
2.2954131265091837e-06 3.73120742412988e-33
2.3489343064737076e-06 3.9972144561850484e-33
2.403703417223201e-06 4.2822395124236296e-33
2.4597495562335635e-06 4.587643526406852e-33
2.5171024994342686e-06 4.914884848640921e-33
2.575792717027583e-06 5.265526220415992e-33
2.635851389676631e-06 5.641242246695887e-33
2.6973104250709106e-06 6.043827404138652e-33
2.760202474878063e-06 6.475204622250011e-33
2.8245609520908932e-06 6.937434478914435e-33
2.8904200487788716e-06 7.43272505415114e-33
2.9578147542535346e-06 7.963442489221754e-33
3.026780873657441e-06 8.53212230172432e-33
3.097355046986562e-06 9.141481510562173e-33
3.1695747685562034e-06 9.79443162891824e-33
3.2434784069208122e-06 1.0494092587305233e-32
3.319105225258239e-06 1.1243807653282591e-32
3.3964954022292982e-06 1.2047159419212756e-32
3.4756900533236943e-06 1.2907986934413508e-32
3.5567312527036693e-06 1.3830404063672306e-32
3.6396620555569646e-06 1.4818819159923608e-32
3.7245265209709786e-06 1.5877956145137848e-32
3.811369735340273e-06 1.7012877100196626e-32
3.900237836319859e-06 1.822900647171067e-32
3.991178037336996e-06 1.9532157011575904e-32
4.0842386526745176e-06 2.0928557573280222e-32
4.179469123139017e-06 2.242488289793659e-32
4.2769200423275275e-06 2.402828553204424e-32
4.376643183506652e-06 2.5746430030236655e-32
4.478691527118417e-06 2.7587529605739244e-32
4.583119288927478e-06 2.956038540444359e-32
4.689981948824612e-06 3.1674428589818957e-32
4.799336280301815e-06 3.393976544001054e-32
4.911240380614659e-06 3.6367225673037433e-32
5.0257537016479225e-06 3.896841423000533e-32
5.142937081500915e-06 4.175576676550137e-32
5.262852776809252e-06 4.474260910835006e-32
5.385564495820272e-06 4.794322097908614e-32
5.511137432239651e-06 5.137290426644727e-32
5.639638299867211e-06 5.504805619125076e-32
5.771135368040315e-06 5.898624770542045e-32
5.905698497903673e-06 6.320630750221944e-32
6.043399179524854e-06 6.772841203832544e-32
6.184310569875183e-06 7.25741819978263e-32
6.32850753169624e-06 7.776678565936081e-32
