# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_9
5.511137432239651e-06 3.2174549132461743e-27
5.639638299867211e-06 3.232867409922446e-27
5.771135368040315e-06 3.2476891593010716e-27
5.905698497903673e-06 3.2619385167510966e-27
6.043399179524854e-06 3.275633639897213e-27
6.184310569875183e-06 3.288792443055473e-27
6.32850753169624e-06 3.301432578370403e-27
6.47606667327258e-06 3.3135714003427655e-27
6.627066389131828e-06 3.325225952302298e-27
6.781586901693754e-06 3.3364129396105884e-27
6.939710303890459e-06 3.347148715888625e-27
7.101520602780329e-06 3.357449272880828e-27
7.267103764178904e-06 3.367330223217263e-27
7.436547758330399e-06 3.376806793845024e-27
7.609942606644117e-06 3.3858938234758915e-27
7.787380429520604e-06 3.394605751756182e-27
7.968955495292936e-06 3.4029566164340855e-27
8.15476427030917e-06 3.410960062604348e-27
8.344905470182516e-06 3.418629325374383e-27
8.539480112236516e-06 3.425977246879314e-27
8.738591569173047e-06 3.4330162694199264e-27
8.942345623991688e-06 3.439758442844583e-27
9.150850526189614e-06 3.446215428669302e-27
9.364217049271877e-06 3.452398503999687e-27
9.58255854960264e-06 3.4583185689476625e-27
9.805991026628606e-06 3.463986149319446e-27
1.0034633184506672e-05 3.469411415048615e-27
1.0268606495168497e-05 3.4746041693476854e-27
1.0508035262855554e-05 3.479573872320189e-27
1.07530466901589e-05 3.4843296433643346e-27
1.1003770945598772e-05 3.4888802654658776e-27
1.1260341232779899e-05 3.493234202799075e-27
1.1522893861159297e-05 3.497399601209903e-27
1.1791568318464117e-05 3.501384300946784e-27
1.206650734479802e-05 3.5051958432295045e-27
1.2347857008475478e-05 3.5088414842918875e-27
1.263576678362426e-05 3.51232819387143e-27
1.293038962959737e-05 3.515662677226625e-27
1.3231882072236462e-05 3.5188513701144404e-27
1.3540404287030327e-05 3.5219004606286914e-27
1.3856120184212054e-05 3.524815884885968e-27
1.4179197495840522e-05 3.52760334650207e-27
1.4509807864912299e-05 3.530268315669445e-27
1.484812693655133e-05 3.532816042894801e-27
1.5194334451324849e-05 3.5352515680341204e-27
1.5548614340735104e-05 3.537579719979669e-27
1.5911154824937624e-05 3.5398051355528074e-27
1.6282148512737936e-05 3.541932250566226e-27
1.6661792503919872e-05 3.543965327986647e-27
1.7050288493959805e-05 3.5459084444609266e-27
1.7447842881182494e-05 3.547765516635727e-27
1.785466687641539e-05 3.549540282928861e-27
1.8270976615199758e-05 3.5512363395574936e-27
1.869699327261814e-05 3.552857121638431e-27
1.91329431807992e-05 3.554405919036573e-27
1.957905794916243e-05 3.555885889891968e-27
2.003557458746648e-05 3.557300042641468e-27
2.0502735631726606e-05 3.558651278909931e-27
2.0980789273068064e-05 3.559942358081914e-27
2.1469989489583918e-05 3.561175927754808e-27
2.1970596181267336e-05 3.5623545200845185e-27
2.2482875308090033e-05 3.563480564123231e-27
2.3007099031300245e-05 3.564556374513618e-27
2.354354585801526e-05 3.565584175087206e-27
2.4092500789185385e-05 3.5665660856117804e-27
2.4654255471007912e-05 3.567504137871669e-27
2.5229108349871537e-05 3.568400273509385e-27
2.5817364830913554e-05 3.569256357878038e-27
2.641933744027406e-05 3.5700741560239596e-27
2.7035345991133382e-05 3.5708553752459696e-27
2.7665717753620915e-05 3.571601639634869e-27
2.8310787628685666e-05 3.572314500160659e-27
2.8970898326020842e-05 3.572995446195987e-27
2.964640054613707e-05 3.573645896086872e-27
3.033765316668089e-05 3.574267210967245e-27
3.104502343309761e-05 3.574860683796907e-27
3.176888715373972e-05 3.575427555577333e-27
3.25096288995246e-05 3.575969017529096e-27
3.326764220824756e-05 3.576486198195518e-27
3.4043329793658724e-05 3.576980186134472e-27
3.483710375941493e-05 3.5774520124478926e-27
3.5649385818020195e-05 3.577902673209943e-27
3.648060751487119e-05 3.578333104725922e-27
3.73312104575266e-05 3.578744222854485e-27
3.820164655032238e-05 3.579136883462603e-27
3.90923782344573e-05 3.579511916806492e-27
4.0003878733676586e-05 3.5798701032064576e-27
4.093663230568398e-05 3.580212207083056e-27
4.1891134499415887e-05 3.5805389493066236e-27
4.2867892418314344e-05 3.5808510063529724e-27
4.386742498973848e-05 3.581149041576925e-27
4.489026324065786e-05 3.58143368899075e-27
4.5936950579773975e-05 3.581705539634628e-27
4.700804308621986e-05 3.581965181693895e-27
4.8104109804991236e-05 3.5822131435138814e-27
4.922573304926602e-05 3.5824499665459474e-27
