# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_5 sigma_3 sigma_2
4.534878508128582e-05 7.523805896178086e-35 2.3307059708668947e-29 2.3001426908419147e-25
6.280291441834246e-05 6.38439703405859e-35 6.145654422533218e-29 6.095238134037769e-25
8.697490026177834e-05 6.007999488541014e-35 1.6251887920244439e-28 1.6154448292863427e-24
0.00012045035402587811 6.475413223552187e-35 4.304063941139176e-28 4.278497987587037e-24
0.0001668100537200059 8.139716073826343e-35 1.1403925521044236e-27 1.1310199663407632e-23
0.0002310129700083158 1.1934382333994415e-34 3.0201370343465398e-27 2.9781975345751473e-23
0.00031992671377973844 2.0170970015709037e-34 7.985019877687819e-27 7.783412718512876e-23
0.00044306214575838776 3.862561158914001e-34 2.1035954510647773e-26 2.005856639094708e-22
0.0006135907273413163 8.202610319459444e-34 5.502969297513393e-26 5.040540544917508e-22
0.0008497534359086438 1.884764745209296e-33 1.4207350231781265e-25 1.2133968416909846e-21
0.0011768119524349966 4.5746571401655636e-33 3.5816947727697065e-25 2.7320773959547396e-21
0.0016297508346206436 1.1504655901044769e-32 8.668269043041185e-25 5.6163347059843174e-21
0.002257019719633917 2.9577372892000126e-32 1.9672711578120307e-24 1.0406112194788389e-20
0.0031257158496882354 7.706254377510677e-32 4.085002864340649e-24 1.7493359356852785e-20
0.004328761281083053 2.0238201046293585e-31 7.648929630196246e-24 2.726671521560786e-20
0.005994842503189409 5.339449792734112e-31 1.2974556156050915e-23 4.0405528008273334e-20
0.008302175681319735 1.4122612586860885e-30 2.0354464288888567e-23 5.807754181870788e-20
0.011497569953977356 3.739627532363319e-30 3.028574593178856e-23 8.205299011909151e-20
0.01592282793341094 9.902859282862965e-30 4.3635142770815837e-23 1.148430648187968e-19
0.022051307399030412 2.619369950614693e-29 6.172934310269952e-23 1.5993697421314153e-19
0.030538555088334123 6.908542881903305e-29 8.645934461257301e-23 2.2215599584735725e-19
0.04229242874389499 1.8115471353861805e-28 1.204542670637485e-22 3.081724854592898e-19
0.058570208180566734 4.697924585791912e-28 1.6735048146289445e-22 4.2724083475350203e-19
0.08111308307896856 1.1938812819398542e-27 2.32181227367509e-22 5.92235855939428e-19
