# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_9 sigma_7 sigma_6 sigma_5 sigma_4 sigma_3 sigma_2
6.029485849799565e-07 2.2252099229501143e-37 2.6429095593101524e-37 4.231532624918621e-37 6.04966709998157e-37 1.0591640193698002e-36 3.4796081753971495e-36 2.494926801128532e-35 1.743790100903821e-35
6.17007282890752e-07 2.1775782109357375e-37 2.5870224764051373e-37 4.14623313831901e-37 5.9345704605751894e-37 1.0419806106818911e-36 3.4622128948217056e-36 2.555882376787619e-35 1.799542175522735e-35
6.313937815326057e-07 2.130983440079678e-37 2.5323428264266052e-37 4.0627301469941425e-37 5.821847514108668e-37 1.0251507164681739e-36 3.445866893950126e-36 2.619030789455007e-35 1.8577482208852244e-35
6.461157240969403e-07 2.0854023410474824e-37 2.478843547821645e-37 3.980983425834502e-37 5.711444912513336e-37 1.0086663854607026e-36 3.430565528501387e-36 2.684455029032565e-35 1.9185472376048268e-35
6.611809319882495e-07 2.040812195366038e-37 2.4264982249002997e-37 3.900953737495877e-37 5.603310657576742e-37 9.925198824289896e-37 3.4163050650922783e-36 2.75224301453661e-35 1.9820870216133703e-35
6.765974089794179e-07 1.9971908213006383e-37 2.3752810707367786e-37 3.822602805187256e-37 5.4973940620637e-37 9.767036812229645e-37 3.4030826822238775e-36 2.8224878905150187e-35 2.048524573736106e-35
6.923733454639272e-07 1.954516560353894e-37 2.325166910983418e-37 3.745893287121135e-37 5.3936457138049236e-37 9.612104587520703e-37 3.390896472349341e-36 2.89528834831622e-35 2.118026960050459e-35
7.085171228072106e-07 1.9127682637212437e-37 2.2761311679978703e-37 3.670788750208692e-37 5.292017437771888e-37 9.46033088933981e-37 3.379745445572362e-36 2.9707489722870925e-35 2.1907725080117507e-35
7.250373177994646e-07 1.8719252794865933e-37 2.2281498454348e-37 3.597253645880098e-37 5.1924622620974e-37 9.311646368767146e-37 3.3696295348176294e-36 3.048980600808173e-35 2.26695185598482e-35
7.419427072122865e-07 1.8319674399232333e-37 2.1811995131767705e-37 3.525253285719666e-37 5.094934383277623e-37 9.16598353090518e-37 3.360549600168907e-36 3.130100702147562e-35 2.3467687524808613e-35
7.592422724615558e-07 1.7928750492981545e-37 2.1352572928540203e-37 3.454753818393043e-37 4.999389133628123e-37 9.02327668177862e-37 3.352507438327993e-36 3.2142337621609674e-35 2.4304405210560954e-35
7.769452043790388e-07 1.7546288718586081e-37 2.0903008435521725e-37 3.3857222066948003e-37 4.9057829485675475e-37 8.88346187317918e-37 3.3455057880392824e-36 3.3015116986816615e-35 2.518198676487599e-35
7.950609080952509e-07 1.7172101202733915e-37 2.046308348099633e-37 3.318126205739956e-37 4.814073335874126e-37 8.746476852433444e-37 3.339548341107494e-36 3.3920743080544263e-35 2.610289991891218e-35
8.135990080361694e-07 1.6806004443469044e-37 2.003258499674939e-37 3.2519343416382415e-37 4.7242188455492045e-37 8.612261012734285e-37 3.334639753196869e-36 3.486069746509876e-35 2.706977946181043e-35
8.325693530364543e-07 1.644781920039539e-37 1.9611304887865433e-37 3.1871158907924143e-37 4.636179040592225e-37 8.480755345046726e-37 3.33078565580127e-36 3.5836550384151835e-35 2.8085441638102816e-35
8.519820215718901e-07 1.6097370387992995e-37 1.9199039906303453e-37 3.1236408598482262e-37 4.549914468757045e-37 8.351902391865277e-37 3.327992669907731e-36 3.684996610956746e-35 2.915289562998995e-35
