# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_7 sigma_5 sigma_4 sigma_3 sigma_2
0.0031257158496882354 2.804413838329358e-38 4.190385853038788e-38 8.953163361994862e-32 8.504200429551667e-28 2.3506361846933253e-24 7.448196555066197e-21
0.004328761281083053 2.0250144901446237e-38 4.0977993921679607e-38 2.3716895121007366e-31 2.1675507384509212e-27 3.725688298211872e-24 1.0744691106610814e-20
0.005994842503189409 1.4622254404474483e-38 4.72882647942922e-38 6.2860086489986255e-31 5.3434909299156666e-27 5.580002723295712e-24 1.5210739583830075e-20
0.008302175681319735 1.055846666579662e-38 6.589107521214282e-38 1.665668434231764e-30 1.2473907889782077e-26 8.070494280117658e-24 2.131192930752349e-20
0.011497569953977356 7.624089344558018e-39 1.097309577523711e-37 4.408430509290175e-30 2.688692071953071e-26 1.1441401019699014e-23 2.9696388836221435e-20
0.01592282793341094 5.505240082235849e-39 2.11183524503759e-37 1.1636164051739028e-29 5.24527099945343e-26 1.604321440915097e-23 4.125914207435822e-20
0.022051307399030412 3.975271344216457e-39 4.522996879947455e-37 3.0550557744366454e-29 9.231153419435261e-26 2.2364085335272603e-23 5.723752175334145e-20
0.030538555088334123 2.8705265441839528e-39 1.044317861219238e-36 7.940347100166759e-29 1.4885853049319196e-25 3.10788643459281e-23 7.934281098788096e-20
0.04229242874389499 2.0728341429823218e-39 2.537344812157235e-36 2.0258239111741552e-28 2.254808142977116e-25 4.312005548023693e-23 1.0994665015294458e-19
0.058570208180566734 1.4968671610102297e-39 6.375198704567009e-36 5.002506691904936e-28 3.283165287634022e-25 5.977809526350322e-23 1.523421077879079e-19
0.08111308307896856 1.0810159853599064e-39 1.6366205815120642e-35 1.1708746196152364e-27 4.672059365177278e-25 8.284179926344256e-23 2.111135817973951e-19
0.11233240329780265 7.807981622957169e-40 4.2585235815343954e-35 2.5329153152511427e-27 6.564643807517436e-25 1.1479696258641135e-22 2.9268788608123447e-19
0.15556761439304723 5.641002434746308e-40 1.1172969168551747e-34 4.9619393024299876e-27 9.161189659305013e-25 1.5911140261872766e-22 4.061450679175965e-19
0.21544346900318778 4.0774273259593865e-40 2.9460624742286963e-34 8.76658004287497e-27 1.2738906197152768e-24 2.2065739247471557e-22 5.64579139376012e-19
0.2983647240283334 2.950007299506634e-40 7.790698262288247e-34 1.4179380966619206e-26 1.7681179582083234e-24 3.0636817093869077e-22 7.874742728431541e-19
0.41320124001153347 2.1381515993373357e-40 2.0634553380874558e-33 2.1521152305604816e-26 2.45193127886142e-24 4.263386400010378e-22 1.1054172357981991e-18
0.572236765935022 1.5550349324575245e-40 5.468887723556217e-33 3.137430510808863e-26 3.3992045943034064e-24 5.9584672466517e-22 1.5703497350224506e-18
0.7924828983539153 1.1383272023704429e-40 1.4492699964341552e-32 4.467750826176763e-26 4.713187691181933e-24 8.394466757638122e-22 2.2796819827652395e-18
1.0974987654930546 8.435717570391375e-41 3.8366344533677235e-32 6.280007293161358e-26 6.5394302703076205e-24 1.1999080715401865e-21 3.436078193198752e-18
1.5199110829529332 6.395501525814343e-41 1.0132051315867023e-31 8.765994768387947e-26 9.086041916665629e-24 1.758709641468824e-21 5.499546124911176e-18
2.104904144512022 5.052582783362463e-41 2.66277864285933e-31 1.219140101101521e-25 1.2657227038288954e-23 2.6840303387363994e-21 9.577485382292895e-18
2.91505306282517 4.2848000842587833e-41 6.933581005082886e-31 1.6924048564533504e-25 1.771183880430721e-23 4.3448635135623965e-21 1.8418078873002588e-17
4.03701725859655 4.065817450777855e-41 1.7748969348937612e-30 2.347445245959819e-25 2.497061356425337e-23 7.588963645846631e-21 3.889313960500198e-17
5.5908101825122225 4.5150394705697507e-41 4.408202612694909e-30 3.2554017653945343e-25 3.562155285630924e-23 1.443708908576615e-20 8.791780345113744e-17
7.742636826811277 6.040482984587207e-41 1.0412298469678531e-29 4.5159899314749e-25 5.173097499779628e-23 2.98210280535105e-20 2.0524737741399167e-16
10.72267222010321 9.705112448914212e-41 2.2812421611155094e-29 6.270226711998616e-25 7.710232293591357e-23 6.57752220680051e-20 4.761569156052965e-16
14.849682622544636 1.8167319788696246e-40 4.5356931344110753e-29 8.720276571109477e-25 1.191494911684911e-22 1.5065947516318601e-19 1.056665568300823e-15
20.565123083486515 3.814003646235733e-40 8.127782584037317e-29 1.2161930934914109e-24 1.9316536061978475e-22 3.460053230744164e-19 2.169061625536302e-15
