# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_9 sigma_7 sigma_6 sigma_5 sigma_4 sigma_3 sigma_2
6.029485849799565e-07 5.023338162646839e-45 8.97103571788724e-45 5.257814943287923e-42 1.5810792337147223e-38 8.799440698094993e-35 8.44265208152451e-31 1.1986180855225217e-27 2.9895628998391578e-27
6.17007282890752e-07 5.0455980436652567e-45 9.041789058038723e-45 5.714318049015618e-42 1.7003116716228882e-38 9.645767725214839e-35 9.258003432093743e-31 1.314379719424653e-27 3.278292757096631e-27
6.313937815326057e-07 5.06805596938686e-45 9.113647135255933e-45 6.21264048598972e-42 1.8292405510198999e-38 1.0573666658900967e-34 1.0152099234200944e-30 1.4413215274856482e-27 3.5949079389718755e-27
6.461157240969403e-07 5.0907145897358084e-45 9.186635226017419e-45 6.756668555877542e-42 1.9687262127386664e-38 1.1591007836139584e-34 1.1132544495229755e-30 1.5805232828513566e-27 3.942101590242634e-27
6.611809319882495e-07 5.1135766019891445e-45 9.260779352495116e-45 7.350649092373669e-42 2.11970868129168e-38 1.2706421336964723e-34 1.2207678705598733e-30 1.7331690424416328e-27 4.322826957834897e-27
6.765974089794179e-07 5.136644751676948e-45 9.336106308987347e-45 7.999222877184704e-42 2.283215152897408e-38 1.392937034186493e-34 1.3386646773836342e-30 1.9005572185168318e-27 4.7403225110889324e-27
6.923733454639272e-07 5.15992183360852e-45 9.41264368949143e-45 8.707461149695369e-42 2.460368200290974e-38 1.5270231574505753e-34 1.4679476813782217e-30 2.0841116231300128e-27 5.1981394885741276e-27
7.085171228072106e-07 5.1834106935618397e-45 9.490419916398371e-45 9.480905481664594e-42 2.652394762822417e-38 1.6740383511072071e-34 1.6097165442855305e-30 2.2853935790234074e-27 5.700172104804286e-27
7.250373177994646e-07 5.207114228511624e-45 9.569464270397367e-45 1.0325611306692171e-41 2.860635997650397e-38 1.8352303108653771e-34 1.765177131908269e-30 2.506115200289314e-27 6.250690674552013e-27
7.419427072122865e-07 5.23103538840515e-45 9.649806921594413e-45 1.1248195413280082e-41 3.086558075301098e-38 2.011967187700021e-34 1.935651771411205e-30 2.748153955987617e-27 6.854377937083715e-27
7.592422724615558e-07 5.2551771768567993e-45 9.731478961917878e-45 1.2255887729399359e-41 3.331764009047213e-38 2.2057492189429416e-34 2.1225904988623956e-30 3.013568639736526e-27 7.516368887140076e-27
7.769452043790388e-07 5.279542653923041e-45 9.814512438993158e-45 1.3356587746459519e-41 3.598006618692206e-38 2.4182214827337803e-34 2.3275833931872177e-30 3.304616881825647e-27 8.24229445323992e-27
7.950609080952509e-07 5.304134934659384e-45 9.898940391319045e-45 1.4558925949790322e-41 3.887202737709384e-38 2.651187884452479e-34 2.552374101590274e-30 3.623774353011794e-27 9.038329395339641e-27
8.135990080361694e-07 5.328957192896852e-45 9.984796885017221e-45 1.5872330642869133e-41 4.2014487824125637e-38 2.906626493484109e-34 2.798874670911397e-30 3.973755822520496e-27 9.911244827209266e-27
8.325693530364543e-07 5.354012661250285e-45 1.0072117052170901e-44 1.7307100572053947e-41 4.543037815179209e-38 3.1867063613082055e-34 3.069181811601823e-30 4.357538250125884e-27 1.0868465812159433e-26
8.519820215718901e-07 5.3793046331867537e-45 1.0160937130710908e-44 1.887448377771716e-41 4.914478244472662e-38 3.493805963671377e-34 3.365594732395718e-30 4.778386108352499e-27 1.19181345210864e-26
8.718473271138315e-07 5.404836463427402e-45 1.0251294506148453e-44 2.0586763116050023e-41 5.318514319014884e-38 3.8305334232166453e-34 3.690634696913016e-30 5.2398791495287064e-27 1.3069179488409107e-26
8.921758236084957e-07 5.4306115709568734e-45 1.0343227755060486e-44 2.2457348914112507e-41 5.758148591360093e-38 4.199748686817985e-34 4.0470664707153385e-30 5.74594285696401e-27 1.4331391562685295e-26
9.12978311084014e-07 5.456633438902895e-45 1.0436776690481931e-44 2.4500879235306066e-41 6.236666534443768e-38 4.604587841922436e-34 4.4379218370802384e-30 6.300881833357182e-27 1.571550718320044e-26
9.342658413882192e-07 5.482905617077636e-45 1.0531982409253448e-44 2.6733328248292097e-41 6.757663525638658e-38 5.04848978391502e-34 4.866525386528889e-30 6.909416417550303e-27 1.7233299708621702e-26
