# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_7 sigma_5 sigma_4 sigma_3 sigma_2
1e-10 inf inf inf inf inf inf
1.3848863713938747e-10 inf inf inf inf inf inf
1.9179102616724848e-10 inf inf inf inf inf inf
2.656087782946684e-10 inf inf inf inf inf inf
3.6783797718286343e-10 inf inf inf inf inf inf
5.094138014816385e-10 inf inf inf inf inf inf
7.054802310718631e-10 inf inf inf inf inf inf
9.770099572992246e-10 inf inf inf inf inf inf
1.3530477745798075e-09 inf inf inf inf inf inf
1.873817422860387e-09 inf inf inf inf inf inf
2.595024211399732e-09 inf inf inf inf inf inf
3.5938136638046257e-09 inf inf inf inf inf inf
4.977023564332114e-09 inf inf inf inf inf inf
6.892612104349681e-09 inf inf inf inf inf inf
9.545484566618328e-09 inf inf inf inf inf inf
1.3219411484660288e-08 inf inf inf inf inf inf
1.8307382802953696e-08 inf inf inf inf inf inf
2.5353644939701113e-08 inf inf inf inf inf inf
3.5111917342151277e-08 inf inf inf inf inf inf
4.8626015800653535e-08 inf inf inf inf inf inf
6.734150657750828e-08 inf inf inf inf inf inf
9.3260334688322e-08 inf inf inf inf inf inf
1.2915496650148827e-07 inf inf inf inf inf inf
1.7886495290574352e-07 inf inf inf inf inf inf
2.4770763559917087e-07 inf inf inf inf inf inf
3.430469286314912e-07 2.5003987875164847e-30 2.500398792159018e-30 2.5004452130929923e-30 2.5050431694728826e-30 2.9856138745324672e-30 2.579386530863448e-28
4.7508101621027934e-07 1.4440992769324834e-31 1.4440992816774904e-31 1.444146727414401e-31 1.4488478139000544e-31 1.9542317916739792e-31 3.972767146447126e-29
6.579332246575682e-07 2.6552507888513596e-32 2.6552508044135607e-32 2.655406412945799e-32 2.670832282286605e-32 4.40281054481632e-32 1.9656184293184854e-29
9.111627561154887e-07 8.719207233502508e-33 8.719207324308616e-33 8.720122210832885e-33 8.810886788176618e-33 1.966100363708308e-32 1.7127596769373312e-29
1.261856883066021e-06 3.981972193727757e-33 3.9819722692842374e-33 3.98272778527088e-33 4.0577730437877765e-33 1.3855874618425495e-32 2.0888182205569028e-29
1.747528400007683e-06 2.2081377973933742e-33 2.20813787423451e-33 2.2089062519528235e-33 2.2853855908779647e-33 1.3597194720964632e-32 3.228565416504342e-29
2.4201282647943835e-06 1.3736475378608137e-33 1.3736476268009649e-33 1.3745370213896755e-33 1.4633838609386777e-33 1.7170750258592087e-32 6.000641449174914e-29
3.3516026509388406e-06 9.136530588796946e-34 9.136531702345036e-34 9.147667850842246e-34 1.0267581456410254e-33 2.6469814263425396e-32 1.2772211077526452e-28
4.641588833612773e-06 6.31106519159615e-34 6.311066651002499e-34 6.325663477587001e-34 7.811957714742757e-34 4.792629766445452e-32 2.9703579189833215e-28
6.4280731172843194e-06 4.450773425748431e-34 4.45077538798485e-34 4.470406327625912e-34 6.515661774629962e-34 9.848691462586499e-32 7.292145507509686e-28
8.902150854450375e-06 3.1740448272269725e-34 3.1740475024797904e-34 3.200824417935427e-34 6.108436372665044e-34 2.2211128522658755e-31 1.8491023326595858e-27
1.2328467394420658e-05 2.276989442677162e-34 2.2769931172109466e-34 2.3138053643195684e-34 6.6091264969886094e-34 5.334517231570715e-31 4.779842677474283e-27
1.7073526474706886e-05 1.6385590812188052e-34 1.6385641481239449e-34 1.6894136970667183e-34 8.369742103438318e-34 1.3335447887068837e-30 1.2496537989064884e-26
2.3644894126454072e-05 1.1810611571906393e-34 1.1810681584742854e-34 1.2515636068448218e-34 1.2375829185804398e-33 3.416668831098208e-30 3.288835735147138e-26
3.274549162877725e-05 8.520272164666101e-35 8.520369010460073e-35 9.501658967012251e-35 2.1089724194613166e-33 8.884536375488254e-30 8.688512530614438e-26
4.534878508128582e-05 6.149335209946831e-35 6.149469248165473e-35 7.523805896178086e-35 4.068219358252343e-33 2.3307059708668947e-29 2.3001426908419147e-25
6.280291441834246e-05 4.439191689558908e-35 4.4393772582302843e-35 6.38439703405859e-35 8.691058240540108e-33 6.145654422533218e-29 6.095238134037769e-25
8.697490026177834e-05 3.2050316956492044e-35 3.2052886453982224e-35 6.007999488541014e-35 2.005747410136727e-32 1.6251887920244439e-28 1.6154448292863427e-24
0.00012045035402587811 2.3141326075718832e-35 2.314488425865396e-35 6.475413223552187e-35 4.882570788689022e-32 4.304063941139176e-28 4.278497987587037e-24
0.0001668100537200059 1.6709308843227914e-35 1.6714236380551738e-35 8.139716073826343e-35 1.23017604079834e-31 1.1403925521044236e-27 1.1310199663407632e-23
0.0002310129700083158 1.2065246620602742e-35 1.207207075641515e-35 1.1934382333994415e-34 3.166253522194374e-31 3.0201370343465398e-27 2.9781975345751473e-23
0.00031992671377973844 8.711999009731233e-36 8.72145012517382e-36 2.0170970015709037e-34 8.25515521366681e-31 7.985019877687819e-27 7.783412718512876e-23
0.00044306214575838776 6.290736047579292e-36 6.303826223286045e-36 3.862561158914001e-34 2.1688440678738145e-30 2.1035954510647773e-26 2.005856639094708e-22
0.0006135907273413163 4.54240829659346e-36 4.560540728695062e-36 8.202610319459444e-34 5.723388750026708e-30 5.502969297513393e-26 5.040540544917508e-22
0.0008497534359086438 3.279981746853573e-36 3.3051039126863626e-36 1.884764745209296e-33 1.5140005539492053e-29 1.4207350231781265e-25 1.2133968416909846e-21
0.0011768119524349966 2.368410483449478e-36 2.4032306004215654e-36 4.5746571401655636e-33 4.00924808662849e-29 3.5816947727697065e-25 2.7320773959547396e-21
0.0016297508346206436 1.710183356683251e-36 1.7584816461419055e-36 1.1504655901044769e-32 1.0616812694093577e-28 8.668269043041185e-25 5.6163347059843174e-21
0.002257019719633917 1.234890529884058e-36 1.3019806078466819e-36 2.9577372892000126e-32 2.808032590765069e-28 1.9672711578120307e-24 1.0406112194788389e-20
