# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_9 sigma_7 sigma_6 sigma_5 sigma_4 sigma_3 sigma_2
5.892102187612295e-07 3.2824912368618722e-49 5.138787444045268e-49 3.3416848546391536e-47 3.2113098502052597e-45 3.2146200755999083e-43 3.3541930272945797e-41 1.767741727488994e-39 2.705613208970012e-39
6.029485849799565e-07 3.211788239284772e-49 5.0563564710793636e-49 3.412718479335768e-47 3.2861367439471385e-45 3.289765334172778e-43 3.440077746232958e-41 1.8548822512675447e-39 2.8767908465680907e-39
6.17007282890752e-07 3.1427689952407333e-49 4.975476124037918e-49 3.4856319097153686e-47 3.362709775656768e-45 3.366675384222893e-43 3.5284408191207555e-41 1.9472431315154776e-39 3.0596356591738104e-39
6.313937815326057e-07 3.0753954275459476e-49 4.8961174070185916e-49 3.560461520806612e-47 3.441069645960379e-45 3.4453921925927652e-43 3.6193686850094377e-41 2.045169098589188e-39 3.25496334507416e-39
6.461157240969403e-07 3.009630255478477e-49 4.8182518645834786e-49 3.6372445690907946e-47 3.52125800612379e-45 3.525958756666654e-43 3.7129514965425567e-41 2.1490286816266053e-39 3.463647446675497e-39
6.611809319882495e-07 2.94543697181825e-49 4.741851576237828e-49 3.7160192408183374e-47 3.6033174802671955e-45 3.608419131653757e-43 3.809283307812382e-41 2.2592158832035943e-39 3.6866234921243404e-39
6.765974089794179e-07 2.8827798203053628e-49 4.666889150502022e-49 3.7968247000267657e-47 3.6872916881019274e-45 3.692818458707603e-43 3.908462272752485e-41 2.376151972125253e-39 3.9248934023749345e-39
6.923733454639272e-07 2.821623773524789e-49 4.5933377186060504e-49 3.8797011359747456e-47 3.7732252682030225e-45 3.77920299391358e-43 4.010590854795008e-41 2.5002874028222138e-39 4.1795301823003605e-39
7.085171228072106e-07 2.7619345112276282e-49 4.521170927845509e-49 3.964689809736974e-47 3.8611639018292706e-45 3.867620138177425e-43 4.115776048446787e-41 2.6321038703382886e-39 4.451682928488453e-39
7.250373177994646e-07 2.7036783991019112e-49 4.45036293464203e-49 4.05183309973793e-47 3.951154337304711e-45 3.958118468049896e-43 4.224129613523532e-41 2.772116510601987e-39 4.742582202801803e-39
7.419427072122865e-07 2.646822468009089e-49 4.38088839735437e-49 4.141174546041972e-47 4.043244414974262e-45 4.05074776752292e-43 4.335768322826818e-41 2.920876256466802e-39 5.053545822833633e-39
7.592422724615558e-07 2.5913343937050292e-49 4.312722468885875e-49 4.2327588932582066e-47 4.137483092747789e-45 4.145559060835342e-43 4.450814224096577e-41 3.0789723606439756e-39 5.3859851180818024e-39
7.769452043790388e-07 2.5371824770673693e-49 4.245840789132192e-49 4.3266321319622835e-47 4.2339204722463816e-45 4.242604646328617e-43 4.569394917128329e-41 3.24703509736925e-39 5.741411680709873e-39
7.950609080952509e-07 2.484335624854588e-49 4.1802194773110674e-49 4.422841538579836e-47 4.3326078255653344e-45 4.341938131392955e-43 4.691643846999974e-41 3.425738655616108e-39 6.121444616195021e-39
8.135990080361694e-07 2.43276333102467e-49 4.115835124211525e-49 4.521435713719901e-47 4.43359762266867e-45 4.443614468548035e-43 4.81770061442133e-41 3.6158042370903444e-39 6.527818283578877e-39
8.325693530364543e-07 2.3824356586448224e-49 4.052664784396723e-49 4.622464618987929e-47 4.5369435594304996e-45 4.547689992703783e-43 4.94771130429005e-41 3.8180033737839227e-39 6.962390516927108e-39
8.519820215718901e-07 2.3333232224263433e-49 3.990685968390502e-49 4.72597961234562e-47 4.6427005863384386e-45 4.654222459648713e-43 5.081828833598268e-41 4.0331614806491094e-39 7.427151355481957e-39
8.718473271138315e-07 2.285397171921876e-49 3.929876634873213e-49 4.832033482119843e-47 4.750924937875488e-45 4.763271085816126e-43 5.220213319923562e-41 4.2621616603350974e-39 7.924232354912586e-39
8.921758236084957e-07 2.2386291754246096e-49 3.870215182909892e-49 4.940680479793169e-47 4.861674162596523e-45 4.87489658938012e-43 5.363032471823041e-41 4.5059487782983774e-39 8.455916597466904e-39
9.12978311084014e-07 2.1929914046117545e-49 3.811680444229213e-49 5.051976351733222e-47 4.9750071539160675e-45 4.989161232737557e-43 5.510462002528162e-41 4.76553382819664e-39 9.024649522778765e-39
9.342658413882192e-07 2.148456519976155e-49 3.754251675569419e-49 5.165978370038624e-47 5.090984181624684e-45 5.106128866432448e-43 5.662686068441835e-41 5.041998607831804e-39 9.63305065131941e-39
9.560497240602198e-07 2.1049976570918254e-49 3.697908551104323e-49 5.282745362693446e-47 5.209666924151875e-45 5.225864974583492e-43 5.819897734039912e-41 5.336500728400007e-39 1.028392619905434e-38
9.78341532338879e-07 2.0625884137601163e-49 3.642631154960418e-49 5.402337743231204e-47 5.331118501593053e-45 5.34843672187916e-43 5.982299464885634e-41 5.650278980342857e-39 1.0980282518776426e-38
1.0011531093113902e-06 2.0212028380832915e-49 3.588399973833859e-49 5.524817540113367e-47 5.455403509519977e-45 5.4739130022055255e-43 6.150103650588824e-41 5.984659080628027e-39 1.1725340335442451e-38
1.0244965742052174e-06 1.980815417512289e-49 3.5351958897143964e-49 5.6502484260263535e-47 5.5825880535926486e-45 5.602364488978201e-43 6.323533159666441e-41 6.341059830120686e-39 1.2522549851690982e-38
1.048384328826741e-06 1.941401068913824e-49 3.4830001727221185e-49 5.778695747296618e-47 5.712739784993383e-45 5.733863687250435e-43 6.502821928397354e-41 6.720999709349397e-39 1.3375606943103596e-38
1.0728290641500308e-06 1.9029351296999387e-49 3.431794474061337e-49 5.910226553613077e-47 5.845927936702355e-45 5.868484987675226e-43 6.688215585910743e-41 7.126103945847366e-39 1.4288470704176134e-38
1.0978437670592484e-06 1.8653933500596046e-49 3.3815608190951008e-49 6.044909628235495e-47 5.982223360635447e-45 6.006304722402499e-43 6.879972117903188e-41 7.558112086857797e-39 1.5265382489477211e-38
1.1234417272482566e-06 1.8287518863275093e-49 3.332281600543114e-49 6.182815518853248e-47 6.121698565665664e-45 6.14740122299535e-43 7.078362571545486e-41 8.01888611307075e-39 1.6310886382688937e-38
1.149636544281106e-06 1.792987295519579e-49 3.2839395718045366e-49 6.324016569242052e-47 6.264427756549738e-45 6.291854880456024e-43 7.283671804318369e-41 8.510419130941265e-39 1.7429850905455416e-38
1.1764421348171486e-06 1.7580765310572414e-49 3.2365178404076096e-49 6.468586951850954e-47 6.410486873782306e-45 6.439748207453804e-43 7.496199279715601e-41 9.034844685408997e-39 1.862749195017235e-38
1.2038727400046132e-06 1.7239969396943863e-49 3.189999861586323e-49 6.616602701433181e-47 6.559953634400279e-45 6.59116590285478e-43 7.716259912955414e-41 9.594446738037701e-39 1.9909397242885493e-38
1.2319429330465773e-06 1.69072625965083e-49 3.1443694319851606e-49 6.768141749819439e-47 6.712907573761284e-45 6.7461949186562716e-43 7.944184970066606e-41 1.0191670359042778e-38 2.1281552851636128e-38
1.2606676269433496e-06 1.658242619944936e-49 3.0996106834916396e-49 6.92328396191554e-47 6.869430088320365e-45 6.9049245294346115e-43 8.180323023952417e-41 1.0829133184045804e-38 2.2750372040818754e-38
1.2900620824153782e-06 1.6265245409054289e-49 3.0557080771965248e-49 7.082111172990425e-47 7.02960447942862e-45 7.067446404421674e-43 8.425040971292436e-41 1.1509637692125215e-38 2.432272623998325e-38
1.3201419160108953e-06 1.5955509358285233e-49 3.0126463974816846e-49 7.244707227309229e-47 7.193515998181964e-45 7.233854682329063e-43 8.678725114411734e-41 1.2236184358395672e-38 2.6005977761862653e-38
1.3509231084026028e-06 1.5653011137317737e-49 2.970410746234815e-49 7.4111580181526e-47 7.361251891341671e-45 7.404246049047918e-43 8.941782312551043e-41 1.30119857471315e-38 2.7808014364466406e-38
1.38242201287781e-06 1.5357547831400149e-49 2.9289865371902594e-49 7.581551529254378e-47 7.532901448359459e-45 7.57871981835615e-43 9.214641207283378e-41 1.3840481612676044e-38 2.973728645777194e-38
1.4146553640265304e-06 1.5068920568223514e-49 2.888359490395322e-49 7.755977877681123e-47 7.708556049529033e-45 7.757378015774092e-43 9.497753527165857e-41 1.472535508203154e-38 3.18028477135496e-38
1.447640286632156e-06 1.4786934573824288e-49 2.8485156268011984e-49 7.934529358169983e-47 7.888309215296501e-45 7.94032546571454e-43 9.79159547707585e-41 1.5670549995690348e-38 3.401439889398701e-38
1.4813943047694329e-06 1.4511399235871623e-49 2.8094412629773364e-49 8.117300488938322e-47 8.072256656756851e-45 8.127669882084107e-43 1.0096669218075708e-40 1.6680289486839023e-38 3.638233409951205e-38
1.5159353511145682e-06 1.4242128173028659e-49 2.7711230059485254e-49 8.304388058972731e-47 8.260496327367444e-45 8.319521962496689e-43 1.0413504444068141e-40 1.7759095887421418e-38 3.891778957617914e-38
1.5512817764724183e-06 1.3978939308918603e-49 2.733547748153321e-49 8.4958911768041965e-47 8.453128475908989e-45 8.515995486271828e-43 1.0742660061964033e-40 1.8911812058424257e-38 4.163269643466381e-38
1.587452359525819e-06 1.3721654949084288e-49 2.696702662523158e-49 8.69191132077605e-47 8.650255700725196e-45 8.717207416398588e-43 1.10847259825618e-40 2.014362424879729e-38 4.4539838309664997e-38
1.6244663168122348e-06 1.3470101859203758e-49 2.6605751976806526e-49 8.892552390808535e-47 8.851983005275906e-45 8.923278005654729e-43 1.1440325029861225e-40 2.1460086588246947e-38 4.765291299194081e-38
1.6623433129330315e-06 1.3224111342719783e-49 2.6251530732561255e-49 9.097920761669376e-47 9.058417855034209e-45 9.134330907081422e-43 1.181011497709198e-40 2.286714732925902e-38 5.098659713886918e-38
1.7011034710007933e-06 1.2983519315966012e-49 2.590424275321559e-49 9.308125337755198e-47 9.269670235764863e-45 9.350493289024154e-43 1.2194790718339318e-40 2.437117696450348e-38 5.455661536288189e-38
1.740767383330235e-06 1.2748166378827764e-49 2.5563770519404755e-49 9.523277609394442e-47 9.485852713217659e-45 9.571895954962121e-43 1.2595086585295306e-40 2.597899835874781e-38 5.837981591967072e-38
1.7813561223783898e-06 1.2517897878965093e-49 2.522999908832979e-49 9.743491710685235e-47 9.707080494274571e-45 9.798673468360046e-43 1.3011778819353107e-40 2.769791903722199e-38 6.247425217968818e-38
1.8228912519398869e-06 1.2292563967656585e-49 2.4902816051547466e-49 9.968884478878777e-47 9.933471489585196e-45 1.0030964282787249e-42 1.3445688210001029e-40 2.953576577827541e-38 6.68592680264841e-38
1.8653948386032614e-06 1.2072019645389846e-49 2.458211149389179e-49 1.019957551532697e-46 1.0165146377732929e-44 1.02689108775663e-42 1.38976829112753e-40 3.150092167944952e-38 7.155558904965986e-38
1.908889463474389e-06 1.1856124795440167e-49 2.4267777953517204e-49 1.0435687248013258e-46 1.0402228670969291e-44 1.0512659899221695e-42 1.4368681448884361e-40 3.3602365879155646e-38 7.658542252474941e-38
1.9533982341732686e-06 1.164474420382849e-49 2.395971038305036e-49 1.0677344995684439e-46 1.0644844782558477e-44 1.0762362309018313e-42 1.4859655931534274e-40 3.5849716119674456e-38 8.197256444515397e-38
1.9989447971105317e-06 1.1437747564246907e-49 2.3657806111848606e-49 1.0924677033610503e-46 1.0893124095775544e-44 1.1018173536893391e-42 1.5371635480960282e-40 3.825327434828609e-38 8.774251158481897e-38
2.045553350050195e-06 1.1235009466769774e-49 2.3361964809350936e-49 1.11778146609956e-46 1.1147199034599772e-44 1.1280253642100888e-42 1.5905709896245172e-40 4.0824075582226135e-38 9.392258277107341e-38
2.0932486549653353e-06 1.1036409369433131e-49 2.307208844951679e-49 1.1436892270067743e-46 1.1407205136151246e-44 1.1548767480907834e-42 1.6463033569116314e-40 4.357394027447782e-38 1.0054205126267247e-37
2.1420560511935146e-06 1.0841831552059966e-49 2.2788081276344408e-49 1.170204741687702e-46 1.1673281124913915e-44 1.1823884881696253e-42 1.7044829668141133e-40 4.6515530419552924e-38 1.0763228391866235e-37
2.192001468898943e-06 1.0651165052018588e-49 2.250984977046162e-49 1.1973420893833633e-46 1.1945568988796776e-44 1.210578082784722e-42 1.76523946110349e-40 4.966240966961199e-38 1.1522688921793836e-37
2.2431114428485372e-06 1.0464303581932744e-49 2.2237302616784595e-49 1.2251156804017974e-46 1.2224214057079515e-44 1.2394635648803202e-42 1.8287102845702014e-40 5.302910775977061e-38 1.2336187990651658e-37
2.2954131265091837e-06 1.0281145429691679e-49 2.197035067323704e-49 1.2535402637297633e-46 1.2509365080295009e-44 1.269063521972405e-42 1.8950411962114425e-40 5.663118953760084e-38 1.3207584501531532e-37
2.3489343064737076e-06 1.0101593341436769e-49 2.170890694052687e-49 1.2826309348288493e-46 1.280117431210164e-44 1.2993971170180158e-42 1.9643868158743063e-40 6.048532892558321e-38 1.4141013193074311e-37
2.403703417223201e-06 9.92555438851836e-50 2.1452886532973354e-49 1.312403143619503e-46 1.3099797593199883e-44 1.3304841102345446e-42 2.0369112088986426e-40 6.460938818454314e-38 1.514090461111738e-37
2.4597495562335635e-06 9.752939819709078e-50 2.1202206650385262e-49 1.3428727026572813e-46 1.3405394437348656e-44 1.3623448819180514e-42 2.1127885114854706e-40 6.902250284326717e-38 1.621200627043853e-37
2.5171024994342686e-06 9.583664900224715e-50 2.0956786550983483e-49 1.3740557955048786e-46 1.3718128119539286e-44 1.3950004563124136e-42 2.1922035997181375e-40 7.374517269912231e-38 1.7359405110442078e-37
2.575792717027583e-06 9.417648739331268e-50 2.071654752536714e-49 1.4059689853047128e-46 1.4038165766389134e-44 1.4284725265840805e-42 2.2753528053705876e-40 7.879935934034539e-38 1.8588552074598113e-37
2.635851389676631e-06 9.254814108500138e-50 2.0481412871522077e-49 1.4386292235558497e-46 1.4365678448814315e-44 1.462783480959821e-42 2.3624446818669297e-40 8.420859063740271e-38 1.9905288021344755e-37
2.6973104250709106e-06 9.095087252211405e-50 2.0251307870871663e-49 1.4720538591001261e-46 1.47008412770454e-44 1.497956430088712e-42 2.4537008239965243e-40 8.99980727109634e-38 2.131587153511067e-37
2.760202474878063e-06 8.938397693589345e-50 2.002615976536724e-49 1.5062606473218876e-46 1.504383349805588e-44 1.5340152356923885e-42 2.5493567452494277e-40 9.619480991974362e-38 2.282700910455527e-37
2.8245609520908932e-06 8.784678037088683e-50 1.980589773562294e-49 1.541267759566195e-46 1.5394838595468154e-44 1.570984540571692e-42 2.6496628169143837e-40 1.0282773342106818e-37 2.4445886842854705e-37
2.8904200487788716e-06 8.633863770431597e-50 1.9590452880092432e-49 1.577093792780213e-46 1.575404439200869e-44 1.6088898000416055e-42 2.754885273378597e-40 1.0992783894260439e-37 2.618020507730474e-37
2.9578147542535346e-06 8.485893067927877e-50 1.937975819529318e-49 1.6137577793829344e-46 1.6121643154586522e-44 1.6477573148699897e-42 2.865307288386464e-40 1.1752833440589814e-37 2.8038215053600772e-37
3.026780873657441e-06 8.340706597195946e-50 1.917374855707964e-49 1.651279197368468e-46 1.6497831702070997e-44 1.68761426580064e-42 2.981230127354863e-40 1.2566479811327263e-37 3.002875828593923e-37
3.097355046986562e-06 8.198247331147477e-50 1.8972360702970318e-49 1.6896779806478618e-46 1.6882811515846267e-44 1.7284887497450937e-42 3.102974381205765e-40 1.3437534826164446e-37 3.2161309036798527e-37
3.1695747685562034e-06 8.05846036690941e-50 1.877553321553265e-49 1.7289745296352934e-46 1.7276788853222983e-44 1.7704098177330893e-42 3.2308812875665597e-40 1.4370082457526181e-37 3.4446019282606597e-37
3.2434784069208122e-06 7.921292753137143e-50 1.8583206506832394e-49 1.7691897220838163e-46 1.7679974863796343e-44 1.8134075147160533e-42 3.3653141456044083e-40 1.5368498295085944e-37 3.689376758842905e-37
3.319105225258239e-06 7.786693326935971e-50 1.8395322803954132e-49 1.810344924176725e-46 1.8092585708830484e-44 1.8575129213239055e-42 3.506659831204574e-40 1.6437470401741677e-37 3.951621074143647e-37
3.3964954022292982e-06 7.654612561357069e-50 1.8211826135599777e-49 1.8524620018801805e-46 1.8514842683765082e-44 1.9027581976813597e-42 3.6553304196809323e-40 1.758202166365101e-37 4.232583982045849e-37
3.4756900533236943e-06 7.525002424177347e-50 1.8032662319773482e-49 1.895563332563003e-46 1.894697234393554e-44 1.9491766293953636e-42 3.811764923711407e-40 1.8807533738296013e-37 4.533603955727859e-37
3.5567312527036693e-06 7.397816248421068e-50 1.7857778952563825e-49 1.939671816890331e-46 1.938920663360678e-44 1.9968026758326256e-42 3.976431154737841e-40 2.011977271798254e-37 4.856115265529342e-37
3.6396620555569646e-06 7.273008614836744e-50 1.7687125398031316e-49 1.9848108909967227e-46 1.984178301841622e-44 2.0456720208127533e-42 4.149827716648416e-40 2.152491662853044e-37 5.2016548013117e-37
