# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_7 sigma_5 sigma_4 sigma_3 sigma_2
1.2328467394420658e-05 1.4891875652684208e-37 3.66834846571447e-37 3.7054973414745263e-36 2.890027945625126e-34 4.528288909959398e-31 4.1181448415362114e-27
1.7073526474706886e-05 1.1062835655173353e-37 2.8449305693428605e-37 4.1235814934184674e-36 4.7317354271559755e-34 1.141465388791961e-30 1.0788862020018586e-26
2.3644894126454072e-05 8.225185609882466e-38 2.218460013254139e-37 4.9300942380214584e-36 8.289294391502145e-34 2.938623453541108e-30 2.842812464821768e-26
3.274549162877725e-05 6.120799734671271e-38 1.7409764143111519e-37 6.313081007866938e-36 1.5697901372274326e-33 7.662745347264838e-30 7.515541446103745e-26
4.534878508128582e-05 4.559079749691865e-38 1.3764917479091625e-37 8.566280491740331e-36 3.225794251073666e-33 2.0134460054075132e-29 1.9905116454872887e-25
6.280291441834246e-05 3.3992144525676866e-38 1.0979859917403915e-37 1.2168328664594859e-35 7.15127450533323e-33 5.314162304612374e-29 5.276446129570181e-25
8.697490026177834e-05 2.5371186892845527e-38 8.85176648565929e-38 1.7998277940811744e-35 1.686121300963715e-32 1.4061284290251064e-28 1.3988620773597729e-24
0.00012045035402587811 1.895812284283339e-38 7.228656602619011e-38 2.782711828151101e-35 4.1555847167635916e-32 3.7254072198526243e-28 3.706334724500329e-24
0.0001668100537200059 1.418329322840685e-38 5.997215232416516e-38 4.542338039147449e-35 1.054540786603682e-31 9.874106640302098e-28 9.803958167995625e-24
0.0002310129700083158 1.0624897974646618e-38 5.073958650220418e-38 7.924633652930333e-35 2.725535918008809e-31 2.616042854922698e-27 2.5845512904887228e-23
0.00031992671377973844 7.970426803470881e-39 4.3990760456282423e-38 1.4932994367084329e-34 7.1233853368417206e-31 6.920916502752946e-27 6.769009456706411e-23
0.00044306214575838776 5.988193707291042e-39 3.9325897678826784e-38 3.052792632442559e-34 1.8741644518925472e-30 1.8252577777923583e-26 1.75122760955443e-22
