# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_7 sigma_5 sigma_4 sigma_3 sigma_2
0.15556761439304723 2.4214281583997136e-35 2.429944595237618e-35 1.8507429380591074e-34 8.91271051465082e-32 7.325811033359074e-28 7.295107938421418e-24
0.21544346900318778 1.7484395544114593e-35 1.7601912954645754e-35 2.249714128799252e-34 2.186660153011193e-31 1.9412193371155765e-27 1.936486836378376e-23
0.2983647240283334 1.262504471770057e-35 1.2786688343220246e-35 3.0618886715861592e-34 5.5292642405502485e-31 5.14905594926767e-27 5.141313269026114e-23
0.41320124001153347 9.11626483002973e-36 9.337285514748755e-36 4.729233392966909e-34 1.4253370238633183e-30 1.3665335786428913e-26 1.3650343232359099e-22
0.572236765935022 6.582666214216858e-36 6.881653570889541e-36 8.315976138658125e-34 3.718574855631248e-30 3.627705000980543e-26 3.623766545336359e-22
0.7924828983539153 4.7532122431560964e-36 5.150322722576607e-36 1.6462258255622457e-33 9.772748224664606e-30 9.631194812999638e-26 9.617222346645843e-22
1.0974987654930546 3.432201992926002e-36 3.9446939306135226e-36 3.585265533230259e-33 2.579695596808633e-29 2.5567959669859024e-25 2.5510805052763615e-21
1.5199110829529332 2.4783271274181806e-36 3.114151623724382e-36 8.368741856720298e-33 6.827349689715539e-29 6.785910373920772e-25 6.762584556078122e-21
2.104904144512022 1.7895529461741072e-36 2.5436642751130893e-36 2.0480052965413276e-32 1.8096533379835364e-28 1.8002769265111525e-24 1.791556141807082e-20
2.91505306282517 1.292202661040508e-36 2.1507718586452824e-36 5.170147837423001e-32 4.800797007369483e-28 4.773402436355573e-24 4.7448470352053804e-20
4.03701725859655 9.330758828966387e-37 1.8838485899176487e-36 1.3313810136482638e-31 1.2741842746792159e-27 1.2649441228117516e-23 1.2568245546441555e-19
5.5908101825122225 6.737577297805244e-37 1.716115551608634e-36 3.4712270776784893e-31 3.38252363130801e-27 3.3508425804386683e-23 3.330049117735184e-19
7.742636826811277 4.865096196819959e-37 1.6391629972739284e-36 9.119152737131528e-31 8.979642488061308e-27 8.875855255440108e-23 8.822953576246878e-19
10.72267222010321 3.5130212293412542e-37 1.6613758573789026e-36 2.4066088240641392e-30 2.3835133075883634e-26 2.351362027805153e-22 2.3358033793662496e-18
14.849682622544636 2.5367245850264493e-37 1.81441122893884e-36 6.368393509484456e-30 6.324820546416441e-26 6.228890156061599e-22 6.170950635057354e-18
20.565123083486515 1.8317744582545299e-37 2.1734293884398637e-36 1.687869328028713e-29 1.6775993511737844e-25 1.6489730071506524e-21 1.623232756861351e-17
28.48035868435793 1.3227642464163932e-37 2.907903918147555e-36 4.4775199235399167e-29 4.447356607801176e-25 4.3571725575232254e-21 4.2341801313147284e-17
39.44206059437648 9.552465011528659e-38 4.408845795695945e-36 1.1883557133252651e-28 1.1784439808527111e-24 1.1467161698155393e-20 1.0874106279160979e-16
