# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_6
9.385825432253677e-05 1.6058416934699805e-30
9.604670766138824e-05 1.7197642852659957e-30
9.828618824393714e-05 1.841717834206236e-30
0.00010057788585090809 1.972262334732382e-30
0.00010292301800464121 2.111996095727891e-30
0.00010532283061593165 2.2615582745410186e-30
0.00010777859864595113 2.421631568573609e-30
0.00011029162678360347 2.5929450726642995e-30
0.00011286325013867351 2.776277310987879e-30
0.00011549483495113791 2.9724594531044016e-30
0.00011818777931701482 3.182378722763722e-30
0.0001209435139311377 3.4069820099887626e-30
0.00012376350284724815 3.647279695891529e-30
0.00012664924425581149 3.904349700556807e-30
0.00012960227127996844 4.179341764327108e-30
0.00013262415279004548 4.473481973046023e-30
0.00013571649423705693 4.788077537476023e-30
0.0001388809385056415 5.124521838699641e-30
0.00014211916678688624 5.484299748055749e-30
0.00014543289947150178 5.868993234455349e-30
0.0001488238970638237 6.2802872675046996e-30
0.00015229396111712465 6.71997602761913e-30
0.00015584493519073535 7.189969431957127e-30
0.00015947870582948208 7.692299985766753e-30
0.00016319720356596128 8.229129966994035e-30
0.00016700240394618395 8.802758951822136e-30
0.00017089632857913436 9.41563168735258e-30
0.000174881046210801 1.0070346316668741e-29
0.00017895867382325032 1.0769662959159987e-29
0.0001831313777593269 1.1516512648751167e-29
0.00018740137487357792 1.231400662858152e-29
0.00019177093371001327 1.3165445999807935e-29
0.000196242375707327 1.4074331718589759e-29
0.00020081807643222024 1.504437493231512e-29
0.00020550046684148122 1.6079507642439743e-29
0.0002102920345734925 1.718389367715947e-29
0.0002151953252698519 1.8361939951858637e-29
0.00022021294392780895 1.961830799516591e-29
0.00022534755628423554 2.0957925694455948e-29
0.0002306018902318662 2.2385999244934056e-29
0.00023597873726856003 2.3908025231193377e-29
0.0002414809539803547 2.5529802811108607e-29
0.0002471114635590999 2.7257445903864177e-29
0.00025287325735547713 2.9097395379005806e-29
0.00025876939646823026 3.105643104434095e-29
0.00026480301337045197 3.31416834977339e-29
0.000270977313573789 3.536064558575963e-29
0.00027729557733145163 3.772118346434898e-29
0.00028376116138093086 4.02315470319609e-29
0.0002903775007273506 4.2900379656801444e-29
0.00029714811046840066 4.573672706468583e-29
0.00030407658766182135 4.875004507493561e-29
0.00031116661323643183 5.195020610998278e-29
0.0003184219539477161 5.534750423190476e-29
0.00032584646437900766 5.895265845526248e-29
0.00033344408898933415 6.277681409405028e-29
0.0003412188642090111 6.68315418327928e-29
0.0003491749205840977 7.112883438071681e-29
0.0003573164849708539 7.568110014815411e-29
0.0003656478827813646 8.050115387559006e-29
0.0003741735402815245 8.560220367398482e-29
0.0003828979869426037 9.099783431961219e-29
0.000391825857847644 9.670198615214412e-29
0.000400961896153964 1.0272892953761545e-28
0.0004103109556130814 1.0909323420183542e-28
0.0004198780031493915 1.1580973322399377e-28
0.00042966812149897106 1.2289348132245845e-28
0.000439686511909911 1.303597067903974e-28
0.0004499384969056106 1.3822375715505672e-28
0.00046042952311250296 1.465010377281527e-28
0.0004711651641537129 1.5520694314857398e-28
0.00048215112361018567 1.643567813102271e-28
0.0004933932380508582 1.7396568972940362e-28
0.0005048974801334842 1.8404854384685702e-28
0.0005166699617777604 1.9461985753055214e-28
0.0005287169374124361 2.05693675455351e-28
0.0005410448072981404 2.1728345755996707e-28
0.0005536601209276797 2.294019558093638e-28
0.0005665695805056229 2.42061083377284e-28
0.0005797800445090163 2.552717768708171e-28
0.0005932985313311235 2.6904385233255684e-28
0.000607132223010125 2.8338585464233306e-28
0.0006212884690447563 2.983049032688845e-28
0.0006357747902989163 3.1380653334396485e-28
0.0006505988829973161 3.298945345347596e-28
0.0006657686228142928 3.465707886321624e-28
0.0006812920690579615 3.638351076476216e-28
0.0006971774689519261 3.816850741953595e-28
0.0007134332620168255 4.001158857097493e-28
0.0007300680845540431 4.191202052123621e-28
0.0007470907742339592 4.386880201792566e-28
0.0007645103747911887 4.588065123130022e-28
0.0007823361408292924 4.794599402681477e-28
0.00080057754273752 5.006295377948904e-28
0.0008192442717221943 5.22293430131463e-28
0.0008383462449554094 5.44426570389288e-28
0.0008578936108437789 5.670006986494826e-28
0.0008778967544200344 5.899843259818654e-28
0.000898366302860337 6.133427449197387e-28
0.0009193131311302326 6.3703806845068115e-28
0.0009407483677622533 6.610292993606598e-28
0.000962683400768232 6.852724296202772e-28
0.000985129883689471 7.097205724110349e-28
0.0010080997417879817 7.343241251520202e-28
0.0010316051783820807 7.5903096483339034e-28
0.0010556586813297128 7.8378667388924205e-28
0.0010802730296629402 8.085347960919208e-28
0.001105461300377127 8.332171201918566e-28
0.0011312368753784248 8.577739890677356e-28
0.0011576134485932472 8.821446324982704e-28
0.0011846050332435167 9.062675191135879e-28
