# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_6
8.921758236084957e-07 1.4731293510791166e-34
9.12978311084014e-07 1.473130060938695e-34
9.342658413882192e-07 1.4731308042870699e-34
9.560497240602198e-07 1.4731315827041199e-34
9.78341532338879e-07 1.4731323978442578e-34
1.0011531093113902e-06 1.4731332514399475e-34
1.0244965742052174e-06 1.4731341453053933e-34
1.048384328826741e-06 1.473135081340362e-34
1.0728290641500308e-06 1.4731360615342654e-34
1.0978437670592484e-06 1.4731370879703661e-34
1.1234417272482566e-06 1.4731381628301992e-34
1.149636544281106e-06 1.473139288398204e-34
1.1764421348171486e-06 1.47314046706662e-34
1.2038727400046132e-06 1.4731417013405127e-34
1.2319429330465773e-06 1.4731429938431399e-34
1.2606676269433496e-06 1.473144347321529e-34
1.2900620824153782e-06 1.473145764652256e-34
1.3201419160108953e-06 1.4731472488476481e-34
1.3509231084026028e-06 1.473148803062105e-34
1.38242201287781e-06 1.4731504305988578e-34
1.4146553640265304e-06 1.473152134916958e-34
1.447640286632156e-06 1.4731539196386485e-34
1.4813943047694329e-06 1.4731557885570384e-34
1.5159353511145682e-06 1.473157745644186e-34
1.5512817764724183e-06 1.4731597950595337e-34
1.587452359525819e-06 1.4731619411587286e-34
1.6244663168122348e-06 1.4731641885029193e-34
1.6623433129330315e-06 1.473166541868406e-34
1.7011034710007933e-06 1.4731690062568116e-34
1.740767383330235e-06 1.4731715869057217e-34
1.7813561223783898e-06 1.4731742892997805e-34
1.8228912519398869e-06 1.473177119182379e-34
1.8653948386032614e-06 1.4731800825678517e-34
1.908889463474389e-06 1.473183185754244e-34
1.9533982341732686e-06 1.4731864353367045e-34
1.9989447971105317e-06 1.4731898382215137e-34
2.045553350050195e-06 1.4731934016407279e-34
2.0932486549653353e-06 1.4731971331675633e-34
2.1420560511935146e-06 1.473201040732521e-34
2.192001468898943e-06 1.4732051326401616e-34
2.2431114428485372e-06 1.4732094175868372e-34
2.2954131265091837e-06 1.4732139046791035e-34
2.3489343064737076e-06 1.4732186034531124e-34
2.403703417223201e-06 1.4732235238948454e-34
2.4597495562335635e-06 1.4732286764613623e-34
2.5171024994342686e-06 1.4732340721029809e-34
2.575792717027583e-06 1.4732397222865816e-34
2.635851389676631e-06 1.4732456390199436e-34
2.6973104250709106e-06 1.4732518348772666e-34
2.760202474878063e-06 1.4732583230259032e-34
2.8245609520908932e-06 1.4732651172542978e-34
2.8904200487788716e-06 1.4732722320013117e-34
2.9578147542535346e-06 1.4732796823868944e-34
3.026780873657441e-06 1.4732874842441809e-34
3.097355046986562e-06 1.4732956541531667e-34
3.1695747685562034e-06 1.4733042094758906e-34
3.2434784069208122e-06 1.4733131683933534e-34
3.319105225258239e-06 1.473322549944118e-34
3.3964954022292982e-06 1.4733323740647502e-34
3.4756900533236943e-06 1.4733426616321787e-34
3.5567312527036693e-06 1.4733534345080406e-34
3.6396620555569646e-06 1.4733647155851021e-34
3.7245265209709786e-06 1.4733765288358954e-34
3.811369735340273e-06 1.4733888993636336e-34
3.900237836319859e-06 1.4734018534555308e-34
3.991178037336996e-06 1.4734154186386179e-34
4.0842386526745176e-06 1.473429623738209e-34
4.179469123139017e-06 1.473444498939121e-34
4.2769200423275275e-06 1.4734600758497651e-34
4.376643183506652e-06 1.4734763875692745e-34
4.478691527118417e-06 1.473493468757776e-34
4.583119288927478e-06 1.4735113557099957e-34
4.689981948824612e-06 1.473530086432312e-34
4.799336280301815e-06 1.4735497007234478e-34
4.911240380614659e-06 1.4735702402589657e-34
5.0257537016479225e-06 1.4735917486797383e-34
5.142937081500915e-06 1.473614271684583e-34
5.262852776809252e-06 1.4736378571272692e-34
5.385564495820272e-06 1.4736625551180852e-34
5.511137432239651e-06 1.4736884181301964e-34
5.639638299867211e-06 1.473715501110991e-34
