# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_7 sigma_5 sigma_4 sigma_3 sigma_2
7.742636826811277 3.0626305167872637e-32 3.0642149122613927e-32 3.360490283461757e-31 7.969058574211077e-28 1.126607133559476e-24 8.017336647221867e-21
10.72267222010321 2.2114469655547708e-32 2.213641358008679e-32 6.155513919661366e-31 1.6300032897226244e-27 2.5279422903797113e-24 1.8844778734555582e-20
14.849682622544636 1.5968360743616579e-32 1.5998755927705762e-32 1.2656665901278115e-30 3.1607100307220088e-27 5.8684805355123076e-24 4.252971562705981e-20
20.565123083486515 1.1530419932863676e-32 1.1572528310804748e-32 2.8080669148100867e-30 5.9569015631528405e-27 1.3664296734524235e-23 8.913351500121706e-20
28.48035868435793 8.325885353329992e-33 8.384239409252049e-33 6.488878070712462e-30 1.1270950218944085e-26 3.0795873985887453e-23 1.696402571378232e-19
39.44206059437648 6.011958815166408e-33 6.092875566254808e-33 1.512747439602003e-29 2.2029018646497316e-26 6.486264483820186e-23 2.925434258037673e-19
54.62277217684337 4.341119179995372e-33 4.453453221891046e-33 3.4538716828343724e-29 4.52599040233289e-26 1.2448886536660488e-22 4.648696389095106e-19
75.64633275546291 3.134638755561986e-33 3.290934265631105e-33 7.530042390886791e-29 9.80464298117284e-26 2.1655554173783868e-22 6.9753607406589e-19
104.76157527896619 2.2634626671602696e-33 2.4818366087129754e-33 1.5464265709378904e-28 2.2128893053990054e-25 3.464990433302782e-22 1.0100139583858743e-18
145.08287784959373 1.6344032251118448e-33 1.941908083202386e-33 3.0083493244639425e-28 5.075504715491399e-25 5.223302637037289e-22 1.4328538138806664e-18
200.92330025650458 1.1801715210358184e-33 1.619412288598171e-33 5.67749744953768e-28 1.1435315789166822e-24 7.584345064189973e-22 2.0098343360502573e-18
278.2559402207126 8.521795772417546e-34 1.4954955109147458e-33 1.0733685812725955e-27 2.4388555163736244e-24 1.0776087833469745e-21 2.802194628427284e-18
385.352859371052 6.1534297069968375e-34 1.5970825252927672e-33 2.0924833558181415e-27 4.776725028824569e-24 1.5128513760887331e-21 3.894391434497162e-18
533.6699231206302 4.443279281924247e-34 2.036977407929698e-33 4.283845501526983e-27 8.488650951999318e-24 2.110236177329667e-21 5.4034451140248615e-18
739.0722033525775 3.2084143422551856e-34 3.1186126823339576e-33 9.247005185832828e-27 1.3820107632713416e-23 2.933466787868365e-21 7.490285485636708e-18
1023.5310218990269 2.3167447423651115e-34 5.6003522441431854e-33 2.0814526720998863e-26 2.1081158941677077e-23 4.070540097204517e-21 1.0379780777096177e-17
1417.474162926802 1.6728910127011834e-34 1.1354939199276717e-32 4.768606083324595e-26 3.083123868051057e-23 5.643066622752706e-21 1.438283768049238e-17
1963.0406500402685 1.2079818740488496e-34 2.4976976601240817e-32 1.0751325792099317e-25 4.3985226687520166e-23 7.819101626846567e-21 1.990522271738818e-17
2718.58824273294 8.722872631532411e-35 5.749762435438558e-32 2.2985390726056407e-25 6.188839599305092e-23 1.0831538311610659e-20 2.7560139809041113e-17
3764.935806792456 6.298988430498788e-35 1.3412451708987317e-31 4.517906807649257e-25 8.642917009724405e-23 1.500266562309812e-20 3.816308421528019e-17
5214.0082879996735 4.5488898638170985e-35 3.076676474041582e-31 8.058545322987131e-25 1.2022192901949013e-22 2.077892328980825e-20 5.292223289467758e-17
7220.8090183854565 3.2853736883655846e-35 6.7601877088931044e-31 1.3159967276441409e-24 1.6687668242683721e-22 2.877703231209472e-20 7.328614855614305e-17
10000.0 2.3732851003822785e-35 1.4004329027952284e-30 2.0116513786348126e-24 2.3138347791400413e-22 3.985664552201969e-20 1.0143577744475442e-16
