# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma, unit: cm2 MeV4, datatype: float64}
# schema: astropy-2.0
mx sigma
1.447640286632156e-06 1.0051402216368861e-25
1.4813943047694329e-06 1.1022159514253166e-25
1.5159353511145682e-06 1.208667186399035e-25
1.5512817764724183e-06 1.3253994061366773e-25
1.587452359525819e-06 1.45340554083117e-25
1.6244663168122348e-06 1.5937744174506548e-25
1.6623433129330315e-06 1.7477000205430763e-25
1.7011034710007933e-06 1.9164916494442607e-25
1.740767383330235e-06 2.1015850538878716e-25
1.7813561223783898e-06 2.304554648342144e-25
1.8228912519398869e-06 2.5271269024378003e-25
1.8653948386032614e-06 2.771195026820929e-25
1.908889463474389e-06 3.0388350776765624e-25
1.9533982341732686e-06 3.33232361488098e-25
1.9989447971105317e-06 3.654157067121475e-25
2.045553350050195e-06 4.007072966274372e-25
2.0932486549653353e-06 4.394073232074396e-25
2.1420560511935146e-06 4.818449710089019e-25
2.192001468898943e-06 5.283812167048369e-25
2.2431114428485372e-06 5.794119000126831e-25
2.2954131265091837e-06 6.353710905740181e-25
2.3489343064737076e-06 6.967347800823384e-25
2.403703417223201e-06 7.6402493123376715e-25
2.4597495562335635e-06 8.37813917491171e-25
2.5171024994342686e-06 9.187293917561133e-25
2.575792717027583e-06 1.0074596250824093e-24
2.635851389676631e-06 1.1047593614938097e-24
2.6973104250709106e-06 1.2114562374690127e-24
2.760202474878063e-06 1.3284578222178865e-24
2.8245609520908932e-06 1.4567593369842133e-24
2.8904200487788716e-06 1.597452121181616e-24
2.9578147542535346e-06 1.7517329146186598e-24
3.026780873657441e-06 1.920914037899152e-24
3.097355046986562e-06 2.1064345540286777e-24
3.1695747685562034e-06 2.309872510048253e-24
3.2434784069208122e-06 2.5329583598779068e-24
3.319105225258239e-06 2.7775896829037435e-24
3.3964954022292982e-06 3.0458473258250423e-24
3.4756900533236943e-06 3.340013101711969e-24
3.5567312527036693e-06 3.662589199050909e-24
3.6396620555569646e-06 4.016319468344043e-24
3.7245265209709786e-06 4.404212755846435e-24
3.811369735340273e-06 4.829568501019605e-24
3.900237836319859e-06 5.296004804198946e-24
3.991178037336996e-06 5.807489194843536e-24
4.0842386526745176e-06 6.368372385029582e-24
4.179469123139017e-06 6.983425276395066e-24
4.2769200423275275e-06 7.65787954026932e-24
4.376643183506652e-06 8.397472118433814e-24
4.478691527118417e-06 9.208494022379929e-24
4.583119288927478e-06 1.0097843848925954e-23
4.689981948824612e-06 1.1073086451752974e-23
4.799336280301815e-06 1.2142517291900835e-23
4.911240380614659e-06 1.3315233005906844e-23
5.0257537016479225e-06 1.4601208772233902e-23
5.142937081500915e-06 1.601138316597638e-23
5.262852776809252e-06 1.7557751203483714e-23
5.385564495820272e-06 1.9253466371600362e-23
5.511137432239651e-06 2.1112952509554465e-23
5.639638299867211e-06 2.315202649630228e-23
5.771135368040315e-06 2.5388032806226494e-23
5.905698497903673e-06 2.7839991017897335e-23
6.043399179524854e-06 3.052875762011149e-23
6.184310569875183e-06 3.347720339747283e-23
6.32850753169624e-06 3.671040797241074e-23
6.47606667327258e-06 4.025587315047268e-23
6.627066389131828e-06 4.414375685683199e-23
6.781586901693754e-06 4.84071295938582e-23
6.939710303890459e-06 5.308225587366232e-23
7.101520602780329e-06 5.820890251098336e-23
7.267103764178904e-06 6.38306770752502e-23
7.436547758330399e-06 6.999539862766261e-23
7.609942606644117e-06 7.675550459226027e-23
7.787380429520604e-06 8.416849683523146e-23
7.968955495292936e-06 9.229743059029899e-23
8.15476427030917e-06 1.0121145104097495e-22
8.344905470182516e-06 1.1098638125939897e-22
8.539480112236516e-06 1.2170536729540384e-22
8.738591569173047e-06 1.3345958542729544e-22
8.942345623991688e-06 1.463490176006791e-22
9.150850526189614e-06 1.6048330200335674e-22
9.364217049271877e-06 1.7598266557773557e-22
9.58255854960264e-06 1.9297894664648759e-22
9.805991026628606e-06 2.1161671659351496e-22
1.0034633184506672e-05 2.320545090944721e-22
1.0268606495168497e-05 2.5446616912678534e-22
1.0508035262855554e-05 2.790423313638298e-22
1.07530466901589e-05 3.0599204195267526e-22
1.1003770945598772e-05 3.3554453655732562e-22
1.1260341232779899e-05 3.6795119000194133e-22
1.1522893861159297e-05 4.0348765509138343e-22
1.1791568318464117e-05 4.424562069129184e-22
1.206650734479802e-05 4.851883137873972e-22
1.2347857008475478e-05 5.320474571966617e-22
1.263576678362426e-05 5.834322236029328e-22
1.293038962959737e-05 6.397796942891205e-22
1.3231882072236462e-05 7.015691636040808e-22
1.3540404287030327e-05 7.693262162573532e-22
1.3856120184212054e-05 8.4362719685193265e-22
1.4179197495840522e-05 9.251041137610543e-22
1.4509807864912299e-05 1.0144500134590937e-21
1.484812693655133e-05 1.1124248772672293e-21
1.5194334451324849e-05 1.2198620823993422e-21
1.5548614340735104e-05 1.337675498390432e-21
1.5911154824937624e-05 1.4668672504438794e-21
1.6282148512737936e-05 1.6085362493620634e-21
1.6661792503919872e-05 1.7638875401520818e-21
1.7050288493959805e-05 1.9342425481802765e-21
1.7447842881182494e-05 2.1210503223246204e-21
1.785466687641539e-05 2.3258998600535902e-21
1.8270976615199758e-05 2.550533620465913e-21
1.869699327261814e-05 2.796862349781866e-21
1.91329431807992e-05 3.0669813326081006e-21
1.957905794916243e-05 3.3631882169155094e-21
2.003557458746648e-05 3.688002550224875e-21
2.0502735631726606e-05 4.044187222934154e-21
2.0980789273068064e-05 4.4347719601496206e-21
2.1469989489583918e-05 4.86307909229952e-21
2.1970596181267336e-05 5.3327518256337856e-21
2.2482875308090033e-05 5.847785217110627e-21
2.3007099031300245e-05 6.412560166261654e-21
2.354354585801526e-05 7.031880686236885e-21
2.4092500789185385e-05 7.711014733802291e-21
2.4654255471007912e-05 8.455739066281583e-21
2.5229108349871537e-05 9.272388355035466e-21
2.5817364830913554e-05 1.0167909059788297e-20
2.641933744027406e-05 1.1149918507285002e-20
2.7035345991133382e-05 1.2226769738102662e-20
2.7665717753620915e-05 1.3407622495049365e-20
2.8310787628685666e-05 1.4702521163995185e-20
2.8970898326020842e-05 1.6122480243949022e-20
2.964640054613707e-05 1.7679577953999606e-20
3.033765316668089e-05 1.9387059050119827e-20
3.104502343309761e-05 2.1259447507977803e-20
3.176888715373972e-05 2.331266986899729e-20
3.25096288995246e-05 2.5564190985481314e-20
3.326764220824756e-05 2.803316245626898e-20
3.4043329793658724e-05 3.074058541268314e-20
3.483710375941493e-05 3.3709489348605113e-20
3.5649385818020195e-05 3.6965127955047354e-20
3.648060751487119e-05 4.053519377720217e-20
3.73312104575266e-05 4.445005407562693e-20
3.820164655032238e-05 4.8743008841396283e-20
3.90923782344573e-05 5.345057400566134e-20
4.0003878733676586e-05 5.86127925990735e-20
4.093663230568398e-05 6.427357458158249e-20
4.1891134499415887e-05 7.048107083487263e-20
4.2867892418314344e-05 7.728808276108198e-20
4.386742498973848e-05 8.475251106415872e-20
4.489026324065786e-05 9.293784849245923e-20
4.5936950579773975e-05 1.0191371992534333e-19
4.700804308621986e-05 1.1175647480415315e-19
4.8104109804991236e-05 1.2254983584634715e-19
4.922573304926602e-05 1.3438561243428724e-19
5.0373508709772956e-05 1.4736447946208164e-19
5.154804657137365e-05 1.6159683649248672e-19
5.27499706370262e-05 1.7720374453264853e-19
5.397991945930254e-05 1.943179563716637e-19
5.5238546479635675e-05 2.1308504712914242e-19
5.6526520375476976e-05 2.336646495186309e-19
5.784452541554797e-05 2.5623181607027714e-19
