# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_6
6.043399179524854e-06 8.031508842919814e-24
6.184310569875183e-06 8.807168412261914e-24
6.32850753169624e-06 9.657737982221562e-24
6.47606667327258e-06 1.0590451915366512e-23
6.627066389131828e-06 1.1613243209480388e-23
6.781586901693754e-06 1.2734810944572882e-23
6.939710303890459e-06 1.3964694296914395e-23
7.101520602780329e-06 1.531335361558065e-23
7.267103764178904e-06 1.6792259428767265e-23
7.436547758330399e-06 1.8413989938457744e-23
7.609942606644117e-06 2.0192338015240123e-23
7.787380429520604e-06 2.2142428501139762e-23
7.968955495292936e-06 2.4280846776467357e-23
8.15476427030917e-06 2.6625779855099166e-23
8.344905470182516e-06 2.919717098013384e-23
8.539480112236516e-06 3.2016889242521874e-23
8.738591569173047e-06 3.5108915539263846e-23
8.942345623991688e-06 3.849954645448254e-23
9.150850526189614e-06 4.2217617888832376e-23
9.364217049271877e-06 4.6294750223791943e-23
9.58255854960264e-06 5.0765617168513894e-23
9.805991026628606e-06 5.566824063802458e-23
1.0034633184506672e-05 6.104431389323311e-23
1.0268606495168497e-05 6.693955615531136e-23
1.0508035262855554e-05 7.340410121568492e-23
1.07530466901589e-05 8.04929237181532e-23
1.1003770945598772e-05 8.826630649475031e-23
1.1260341232779899e-05 9.679035298105936e-23
1.1522893861159297e-05 1.061375493254476e-22
1.1791568318464117e-05 1.163873804702777e-22
1.206650734479802e-05 1.27627005761149e-22
1.2347857008475478e-05 1.3995199994307338e-22
1.263576678362426e-05 1.534671655552826e-22
1.293038962959737e-05 1.682874235791427e-22
1.3231882072236462e-05 1.845387903100885e-22
1.3540404287030327e-05 2.0235944848976998e-22
1.3856120184212054e-05 2.2190092140008043e-22
1.4179197495840522e-05 2.433293609620635e-22
1.4509807864912299e-05 2.668269593006649e-22
1.484812693655133e-05 2.925934973998788e-22
1.5194334451324849e-05 3.2084804181629637e-22
1.5548614340735104e-05 3.518308080911359e-22
1.5911154824937624e-05 3.858051990908298e-22
1.6282148512737936e-05 4.2306004441565616e-22
1.6661792503919872e-05 4.639120544918899e-22
1.7050288493959805e-05 5.0870850999439095e-22
1.7447842881182494e-05 5.57830212643125e-22
1.785466687641539e-05 6.116947195810365e-22
1.8270976615199758e-05 6.707598890721836e-22
1.869699327261814e-05 7.355277700904374e-22
1.91329431807992e-05 8.065488654059525e-22
1.957905794916243e-05 8.84426806851185e-22
2.003557458746648e-05 9.698234786674901e-22
2.0502735631726606e-05 1.06346464016242e-21
2.0980789273068064e-05 1.1661460845121165e-21
