# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_5 sigma_3 sigma_2
0.00031992671377973844 1.1514450755445083e-35 1.099117238073635e-27 1.0883862963638623e-23
0.00044306214575838776 3.003002104897722e-35 2.9103492519544396e-27 2.856541546192935e-23
0.0006135907273413163 7.891581072390126e-35 7.684755733504003e-27 7.418376045218056e-23
0.0008497534359086438 2.0831838242902e-34 2.0184183293540907e-26 1.8897310118616722e-22
0.0011768119524349966 5.513623510434041e-34 5.24904937063411e-26 4.653927156121608e-22
0.0016297508346206436 1.4615355088151584e-33 1.3404638965628707e-25 1.0846938891798482e-21
0.002257019719633917 3.877558907459305e-33 3.315345223712792e-25 2.3329158842603246e-21
0.0031257158496882354 1.0292394264708335e-32 7.779017337976467e-25 4.53988531612696e-21
0.004328761281083053 2.732650954732919e-32 1.6885441437006205e-24 7.971231593837111e-21
0.005994842503189409 7.256023577380174e-32 3.32085469298188e-24 1.2831270989657694e-20
0.008302175681319735 1.9266870561874512e-31 5.888979504966135e-24 1.941290360547112e-20
0.011497569953977356 5.11527014234121e-31 9.552635764236836e-24 2.824678979416275e-20
0.01592282793341094 1.357662568888819e-30 1.4526874052053905e-23 4.0180521992532315e-20
0.022051307399030412 3.6011598050082856e-30 2.120255628244635e-23 5.644610555777867e-20
0.030538555088334123 9.540313612235295e-30 3.021288870034072e-23 7.87664470228378e-20
0.04229242874389499 2.5215455380721185e-29 4.2483977528443713e-23 1.0952851683659665e-19
0.058570208180566734 6.634996244884424e-29 5.931457689566224e-23 1.5203931967984026e-19
0.08111308307896856 1.7313576091247113e-28 8.250540163820621e-23 2.1089445179412587e-19
0.11233240329780265 4.448774012893232e-28 1.1455328446989506e-22 2.9252923179232105e-19
0.15556761439304723 1.1121245045028573e-27 1.5893497890384982e-22 4.060300209943767e-19
0.21544346900318778 2.6544297911250312e-27 2.205295782824344e-22 5.644954292638366e-19
0.2983647240283334 5.9026846881887935e-27 3.0627537968297735e-22 7.874129543589462e-19
0.41320124001153347 1.1947834657697847e-26 4.262709773011149e-22 1.1053717430588518e-18
0.572236765935022 2.1790980318086052e-26 5.957969624955374e-22 1.5703151692635221e-18
0.7924828983539153 3.615320887420527e-26 8.394094887689301e-22 2.2796545563342484e-18
1.0974987654930546 5.58332676734114e-26 1.1998794648787455e-21 3.4360547346246637e-18
1.5199110829529332 8.226538324043963e-26 1.7586865036838e-21 5.499523499799895e-18
2.104904144512022 1.1786693525451313e-25 2.6840100493768662e-21 9.577459547869086e-18
2.91505306282517 1.6625690919339725e-25 4.344843496303082e-21 1.8418042902888866e-17
4.03701725859655 2.3256505551432534e-25 7.588940653911089e-21 3.8893079216105044e-17
5.5908101825122225 3.2395507262948428e-25 1.443705775811693e-20 8.79176872733069e-17
7.742636826811277 4.5044786563961565e-25 2.982097772993286e-20 2.052471390279035e-16
10.72267222010321 6.261861629677491e-25 6.577512989395995e-20 4.761564325625613e-16
14.849682622544636 8.714181231198448e-25 1.5065929309479246e-19 1.0566646727019346e-15
20.565123083486515 1.2157465700737822e-24 3.460049615273144e-19 2.169060204695807e-15
28.48035868435793 1.703737619034215e-24 7.667562311586159e-19 4.038480100938515e-15
39.44206059437648 2.4051288461352893e-24 1.5819866929682438e-18 6.831669603639806e-15
54.62277217684337 3.434341224981728e-24 2.9699603772160515e-18 1.0703819921236522e-14
75.64633275546291 4.989465705652735e-24 5.065835957168336e-18 1.5916312834664768e-14
104.76157527896619 7.433515322417021e-24 7.987646086309271e-18 2.2924305598703702e-14
145.08287784959373 1.147113960477078e-23 1.1927025655194426e-17 3.242553785225882e-14
200.92330025650458 1.855004533846854e-23 1.7221221786130435e-17 4.541013701780239e-14
278.2559402207126 3.181110841363191e-23 2.4391764465176542e-17 6.32590878828297e-14
385.352859371052 5.841015781286666e-23 3.418538162764607e-17 8.787602987797634e-14
533.6699231206302 1.1526703648455394e-22 4.764121770717079e-17 1.2189897522516292e-13
739.0722033525775 2.4304687670813508e-22 6.619516420059442e-17 1.6895639231478876e-13
1023.5310218990269 5.37961609766698e-22 9.18308866857352e-17 2.3411900363209473e-13
1417.474162926802 1.2140954800754305e-21 1.2729028868947336e-16 3.2439831294779723e-13
1963.0406500402685 2.691874570387437e-21 1.7636295630787328e-16 4.4894538105119274e-13
2718.58824273294 5.640593552713037e-21 2.44300983854868e-16 6.215899128010082e-13
3764.935806792456 1.0843902597615715e-20 3.38372808695203e-16 8.60724081991987e-13
5214.0082879996735 1.8945824504588e-20 4.68647033155563e-16 1.193596626351494e-12
7220.8090183854565 3.0443764557605206e-20 6.490328093969345e-16 1.652878003384757e-12
10000.0 4.6035086470526154e-20 8.989183602048355e-16 2.287756115957203e-12
