# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_9
3.162277660168379e-07 1.1250215234228087e-32
3.2360111549336787e-07 1.2272301920038093e-32
3.311463862505236e-07 1.3384134135440235e-32
3.388675869043115e-07 1.4593161665329466e-32
3.4676881953794695e-07 1.590739400801688e-32
3.548542818811901e-07 1.7335434507243937e-32
3.6312826954049566e-07 1.8886515484779129e-32
3.715951782811629e-07 2.0570534241583396e-32
3.8025950636269697e-07 2.239808976316083e-32
3.89125856928623e-07 2.438051993056677e-32
3.9819894045202297e-07 2.6529939010916995e-32
4.0748357723809307e-07 2.8859275149080163e-32
4.169846999850535e-07 3.1382307551216696e-32
4.2670735640476865e-07 3.4113703001873225e-32
4.3665671190447213e-07 3.706905130280827e-32
4.4683805233101997e-07 4.026489919051024e-32
4.572567867791303e-07 4.3718782218588614e-32
4.6791845046510194e-07 4.7449254031012263e-32
4.788287076675383e-07 5.147591244757441e-32
4.899933547366384e-07 5.581942166320407e-32
5.014183231736547e-07 6.050152985837727e-32
5.131096827821533e-07 6.554508144823177e-32
5.250736448927506e-07 7.097402317408726e-32
5.373165656630395e-07 7.68134031548632e-32
5.4984494945446e-07 8.308936203831532e-32
5.626654522879044e-07 8.982911534244616e-32
5.757848853798981e-07 9.706092603224176e-32
5.892102187612295e-07 1.0481406646733647e-31
6.029485849799565e-07 1.131187687231829e-31
6.17007282890752e-07 1.220061625088627e-31
6.313937815326057e-07 1.315081997370632e-31
6.461157240969403e-07 1.4165756509646405e-31
6.611809319882495e-07 1.5248757186791258e-31
6.765974089794179e-07 1.6403204247349369e-31
6.923733454639272e-07 1.7632517334884693e-31
7.085171228072106e-07 1.894013838761306e-31
7.250373177994646e-07 2.032951492976476e-31
7.419427072122865e-07 2.180408178624643e-31
7.592422724615558e-07 2.3367241248746123e-31
7.769452043790388e-07 2.5022341766054717e-31
7.950609080952509e-07 2.677265525559181e-31
8.135990080361694e-07 2.8621353151193245e-31
8.325693530364543e-07 3.057148134634385e-31
8.519820215718901e-07 3.262593421756298e-31
8.718473271138315e-07 3.478742793778916e-31
8.921758236084957e-07 3.705847333540551e-31
9.12978311084014e-07 3.9441348549492073e-31
9.342658413882192e-07 4.1938071804036724e-31
9.560497240602198e-07 4.455037460005661e-31
9.78341532338879e-07 4.727967566820928e-31
1.0011531093113902e-06 5.01270560410111e-31
1.0244965742052174e-06 5.309323557933748e-31
1.048384328826741e-06 5.617855132636848e-31
1.0728290641500308e-06 5.938293804299805e-31
1.0978437670592484e-06 6.270591123085507e-31
1.1234417272482566e-06 6.614655301753018e-31
1.149636544281106e-06 6.970350112786192e-31
1.1764421348171486e-06 7.337494125190396e-31
1.2038727400046132e-06 7.7158602984965965e-31
1.2319429330465773e-06 8.10517595336717e-31
1.2606676269433496e-06 8.505123129952838e-31
1.2900620824153782e-06 8.915339339301922e-31
1.3201419160108953e-06 9.335418706300824e-31
1.3509231084026028e-06 9.764913507589172e-31
1.38242201287781e-06 1.0203336077940937e-30
1.4146553640265304e-06 1.0650161083431684e-30
1.447640286632156e-06 1.1104828124529156e-30
1.4813943047694329e-06 1.1566744655558646e-30
1.5159353511145682e-06 1.203528917335327e-30
1.5512817764724183e-06 1.2509814646244411e-30
1.587452359525819e-06 1.2989652148059126e-30
1.6244663168122348e-06 1.3474114641002226e-30
1.6623433129330315e-06 1.3962500877874614e-30
1.7011034710007933e-06 1.4454099367482677e-30
1.740767383330235e-06 1.4948192367736066e-30
1.7813561223783898e-06 1.544405985476349e-30
1.8228912519398869e-06 1.5940983421772915e-30
1.8653948386032614e-06 1.6438250089641266e-30
1.908889463474389e-06 1.6935155961053524e-30
1.9533982341732686e-06 1.7431009703719967e-30
1.9989447971105317e-06 1.7925135831461942e-30
2.045553350050195e-06 1.8416877748406517e-30
2.0932486549653353e-06 1.890560054251812e-30
2.1420560511935146e-06 1.9390693511006885e-30
2.192001468898943e-06 1.9871572398547467e-30
2.2431114428485372e-06 2.034768134588393e-30
2.2954131265091837e-06 2.081849454678056e-30
2.3489343064737076e-06 2.128351761139559e-30
2.403703417223201e-06 2.174228862984094e-30
2.4597495562335635e-06 2.219437896689029e-30
2.5171024994342686e-06 2.2639393768564893e-30
2.575792717027583e-06 2.3076972226033306e-30
2.635851389676631e-06 2.3506787583635915e-30
2.6973104250709106e-06 2.3928546915170258e-30
2.760202474878063e-06 2.434199071342732e-30
2.8245609520908932e-06 2.4746892254230604e-30
2.8904200487788716e-06 2.514305681851195e-30
2.9578147542535346e-06 2.5530320755460688e-30
3.026780873657441e-06 2.5908550413211523e-30
3.097355046986562e-06 2.627764095546448e-30
3.1695747685562034e-06 2.663751509397805e-30
3.2434784069208122e-06 2.6988121737142787e-30
3.319105225258239e-06 2.7329434597038343e-30
3.3964954022292982e-06 2.7661450726524237e-30
3.4756900533236943e-06 2.7984189076711494e-30
3.5567312527036693e-06 2.8297688985798312e-30
3.6396620555569646e-06 2.8602008724126736e-30
3.7245265209709786e-06 2.8897224018839026e-30
3.811369735340273e-06 2.9183426588245302e-30
3.900237836319859e-06 2.946072274938961e-30
3.991178037336996e-06 2.972923202709762e-30
4.0842386526745176e-06 2.9989085822594284e-30
4.179469123139017e-06 3.024042611776496e-30
4.2769200423275275e-06 3.0483404253332465e-30
4.376643183506652e-06 3.0718179766444823e-30
4.478691527118417e-06 3.0944919232753868e-30
4.583119288927478e-06 3.1163795254165e-30
4.689981948824612e-06 3.137498545177188e-30
4.799336280301815e-06 3.157867151561885e-30
4.911240380614659e-06 3.177503836068725e-30
5.0257537016479225e-06 3.196427330256572e-30
5.142937081500915e-06 3.2146565314044974e-30
5.262852776809252e-06 3.2322104339701774e-30
5.385564495820272e-06 3.249108064491541e-30
5.511137432239651e-06 3.26536842554707e-30
5.639638299867211e-06 3.2810104414692045e-30
5.771135368040315e-06 3.296052911688889e-30
5.905698497903673e-06 3.3105144677119006e-30
6.043399179524854e-06 3.32441353526172e-30
6.184310569875183e-06 3.337768296287197e-30
6.32850753169624e-06 3.350596664317651e-30
6.47606667327258e-06 3.362916254955363e-30
6.627066389131828e-06 3.374744363365249e-30
6.781586901693754e-06 3.386097944070252e-30
6.939710303890459e-06 3.3969935955833165e-30
7.101520602780329e-06 3.407447546400252e-30
7.267103764178904e-06 3.417475640533693e-30
7.436547758330399e-06 3.4270933344971544e-30
7.609942606644117e-06 3.436315685348873e-30
7.787380429520604e-06 3.445157348746992e-30
7.968955495292936e-06 3.453632573246866e-30
8.15476427030917e-06 3.461755203065994e-30
8.344905470182516e-06 3.469538675598294e-30
8.539480112236516e-06 3.476996019475334e-30
8.738591569173047e-06 3.4841398656869946e-30
8.942345623991688e-06 3.490982442041671e-30
9.150850526189614e-06 3.4975355838963075e-30
9.364217049271877e-06 3.503810735816832e-30
9.58255854960264e-06 3.509818960750702e-30
9.805991026628606e-06 3.515570943720833e-30
1.0034633184506672e-05 3.521076999550902e-30
1.0268606495168497e-05 3.5263470832726604e-30
1.0508035262855554e-05 3.531390793515667e-30
1.07530466901589e-05 3.536217386518983e-30
1.1003770945598772e-05 3.540835776391572e-30
1.1260341232779899e-05 3.545254550635635e-30
1.1522893861159297e-05 3.5494819795286894e-30
1.1791568318464117e-05 3.5535260160399924e-30
1.206650734479802e-05 3.557394320615041e-30
1.2347857008475478e-05 3.561094250110846e-30
1.263576678362426e-05 3.564632885261454e-30
1.293038962959737e-05 3.568017022585861e-30
1.3231882072236462e-05 3.571253202750971e-30
1.3540404287030327e-05 3.5743476973059326e-30
1.3856120184212054e-05 3.5773065361055326e-30
1.4179197495840522e-05 3.580135508700865e-30
1.4509807864912299e-05 3.582840164529151e-30
1.484812693655133e-05 3.585425831972654e-30
1.5194334451324849e-05 3.5878976255067556e-30
1.5548614340735104e-05 3.590260449617874e-30
1.5911154824937624e-05 3.5925190043858125e-30
1.6282148512737936e-05 3.594677794406885e-30
1.6661792503919872e-05 3.5967411506968316e-30
1.7050288493959805e-05 3.598713205151239e-30
1.7447842881182494e-05 3.600597929844662e-30
1.785466687641539e-05 3.602399126257812e-30
1.8270976615199758e-05 3.6041204402798036e-30
1.869699327261814e-05 3.6057653566963325e-30
1.91329431807992e-05 3.6073372189086116e-30
1.957905794916243e-05 3.608839226399928e-30
2.003557458746648e-05 3.6102744432308776e-30
2.0502735631726606e-05 3.611645800003025e-30
2.0980789273068064e-05 3.612956107272771e-30
2.1469989489583918e-05 3.614208045630553e-30
2.1970596181267336e-05 3.615404190368252e-30
2.2482875308090033e-05 3.616547001788855e-30
2.3007099031300245e-05 3.6176388323778415e-30
2.354354585801526e-05 3.618681937210029e-30
2.4092500789185385e-05 3.619678472420904e-30
2.4654255471007912e-05 3.620630493254824e-30
2.5229108349871537e-05 3.621539976269135e-30
2.5817364830913554e-05 3.622408806232871e-30
2.641933744027406e-05 3.623238781570929e-30
2.7035345991133382e-05 3.624031636684253e-30
2.7665717753620915e-05 3.6247890154992476e-30
2.8310787628685666e-05 3.6255124925355105e-30
2.8970898326020842e-05 3.626203578521826e-30
2.964640054613707e-05 3.626863714800817e-30
3.033765316668089e-05 3.627494278558197e-30
3.104502343309761e-05 3.628096589463538e-30
3.176888715373972e-05 3.628671904426807e-30
3.25096288995246e-05 3.629221428758975e-30
3.326764220824756e-05 3.6297463167215034e-30
3.4043329793658724e-05 3.63024765453474e-30
3.483710375941493e-05 3.6307265106539866e-30
3.5649385818020195e-05 3.631183878313625e-30
3.648060751487119e-05 3.6316207256605e-30
3.73312104575266e-05 3.632037964922452e-30
3.820164655032238e-05 3.632436470801383e-30
3.90923782344573e-05 3.632817087713083e-30
4.0003878733676586e-05 3.633180613933008e-30
4.093663230568398e-05 3.6335278098819614e-30
4.1891134499415887e-05 3.63385941332988e-30
4.2867892418314344e-05 3.634176118863955e-30
4.386742498973848e-05 3.6344785941193485e-30
4.489026324065786e-05 3.6347674809012e-30
4.5936950579773975e-05 3.6350433834080414e-30
4.700804308621986e-05 3.635306885734618e-30
4.8104109804991236e-05 3.635558546707615e-30
4.922573304926602e-05 3.635798891601115e-30
5.0373508709772956e-05 3.636028426573055e-30
5.154804657137365e-05 3.636247643504947e-30
5.27499706370262e-05 3.636457003607327e-30
5.397991945930254e-05 3.6366569506667754e-30
5.5238546479635675e-05 3.636847904913653e-30
