# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_6
2.9578147542535346e-06 2.794950094887537e-30
3.026780873657441e-06 3.062080716812321e-30
3.097355046986562e-06 3.3548799799160056e-30
3.1695747685562034e-06 3.675821642121648e-30
3.2434784069208122e-06 4.027618108704875e-30
3.319105225258239e-06 4.4132434664297395e-30
3.3964954022292982e-06 4.835958741713283e-30
3.4756900533236943e-06 5.299339597566356e-30
3.5567312527036693e-06 5.814452262032426e-30
3.6396620555569646e-06 6.372036002106752e-30
3.7245265209709786e-06 6.9832910591969e-30
3.811369735340273e-06 7.653393166598328e-30
3.900237836319859e-06 8.388017529623806e-30
3.991178037336996e-06 9.193387043846053e-30
4.0842386526745176e-06 1.0076325169122927e-29
4.179469123139017e-06 1.1044313908972021e-29
4.2769200423275275e-06 1.2105557388262138e-29
4.376643183506652e-06 1.3269051569796664e-29
4.478691527118417e-06 1.4544660702554304e-29
4.583119288927478e-06 1.5943201151597888e-29
4.689981948824612e-06 1.7476533322411424e-29
4.799336280301815e-06 1.915766246126717e-29
4.911240380614659e-06 2.1000849188676536e-29
5.0257537016479225e-06 2.3021730705728618e-29
5.142937081500915e-06 2.5237453703888344e-29
5.262852776809252e-06 2.7666820108295097e-29
5.385564495820272e-06 3.0330446893741643e-29
5.511137432239651e-06 3.325094133213286e-29
5.639638299867211e-06 3.645309316144089e-29
5.771135368040315e-06 3.9964085310007014e-29
5.905698497903673e-06 4.3813724967805683e-29
6.043399179524854e-06 4.8034696969245514e-29
6.184310569875183e-06 5.266284164176309e-29
6.32850753169624e-06 5.77374594824336e-29
6.47606667327258e-06 6.330164525289253e-29
6.627066389131828e-06 6.940265433289905e-29
6.781586901693754e-06 7.609230444712067e-29
6.939710303890459e-06 8.342741618034923e-29
7.101520602780329e-06 9.147029602605264e-29
7.267103764178904e-06 1.0028926607470358e-28
7.436547758330399e-06 1.0995924484468483e-28
7.609942606644117e-06 1.2056238419324165e-28
7.787380429520604e-06 1.3218876772156928e-28
7.968955495292936e-06 1.449371766106515e-28
8.15476427030917e-06 1.589159293975549e-28
8.344905470182516e-06 1.7424380283015134e-28
8.539480112236516e-06 1.9105104162714314e-28
8.738591569173047e-06 2.094804657257829e-28
8.942345623991688e-06 2.296886844277788e-28
9.150850526189614e-06 2.518474277622462e-28
9.364217049271877e-06 2.761450063803304e-28
9.58255854960264e-06 3.0278791238781467e-28
9.805991026628606e-06 3.320025747195016e-28
1.0034633184506672e-05 3.6403728397161176e-28
1.0268606495168497e-05 3.9916430304774675e-28
1.0508035262855554e-05 4.376821815519817e-28
1.07530466901589e-05 4.799182935931572e-28
1.1003770945598772e-05 5.262316205610247e-28
1.1260341232779899e-05 5.770158025155103e-28
1.1522893861159297e-05 6.327024841103323e-28
1.1791568318464117e-05 6.937649834731877e-28
1.206650734479802e-05 7.607223152055565e-28
1.2347857008475478e-05 8.341436016715213e-28
1.263576678362426e-05 9.146529100395966e-28
1.293038962959737e-05 1.0029345561553619e-27
1.3231882072236462e-05 1.099738920283113e-27
1.3540404287030327e-05 1.2058888240979105e-27
1.3856120184212054e-05 1.3222865230703161e-27
1.4179197495840522e-05 1.4499213736058175e-27
1.4509807864912299e-05 1.589878240023892e-27
1.484812693655133e-05 1.7433467127347942e-27
1.5194334451324849e-05 1.9116312158501485e-27
1.5548614340735104e-05 2.0991378133036455e-27
1.5911154824937624e-05 2.30177146099204e-27
1.6282148512737936e-05 2.5239675285785307e-27
1.6661792503919872e-05 2.7676145100902255e-27
1.7050288493959805e-05 3.0347831811384273e-27
1.7447842881182494e-05 3.327744188281691e-27
1.785466687641539e-05 3.648987334929102e-27
1.8270976615199758e-05 4.001242727305833e-27
1.869699327261814e-05 4.387503959746849e-27
1.91329431807992e-05 4.811053535841069e-27
1.957905794916243e-05 5.275490740870157e-27
2.003557458746648e-05 5.784762201709671e-27
2.0502735631726606e-05 6.343195393095498e-27
2.0980789273068064e-05 6.955535374059639e-27
2.1469989489583918e-05 7.62698506563855e-27
2.1970596181267336e-05 8.363249410876327e-27
2.2482875308090033e-05 9.170583790938294e-27
2.3007099031300245e-05 1.0055847107075482e-26
2.354354585801526e-05 1.1026559977569029e-26
2.4092500789185385e-05 1.209096854193082e-26
2.4654255471007912e-05 1.3258114411935062e-26
2.5229108349871537e-05 1.4537911360861552e-26
2.5817364830913554e-05 1.594122939912449e-26
2.641933744027406e-05 1.7479986946668e-26
2.7035345991133382e-05 1.916725188066916e-26
2.7665717753620915e-05 2.1017352311802786e-26
2.8310787628685666e-05 2.3045998024085305e-26
2.8970898326020842e-05 2.527041360303734e-26
2.964640054613707e-05 2.770948437500451e-26
3.033765316668089e-05 3.038391638814504e-26
3.104502343309761e-05 3.331641178330217e-26
3.176888715373972e-05 3.6531861032164994e-26
3.25096288995246e-05 4.0057553661352505e-26
3.326764220824756e-05 4.3923409235931584e-26
3.4043329793658724e-05 4.8162230545386936e-26
3.483710375941493e-05 5.280998112064761e-26
3.5649385818020195e-05 5.790608941421849e-26
3.648060751487119e-05 6.349378219778183e-26
3.73312104575266e-05 6.962044997547001e-26
3.820164655032238e-05 7.633804747781744e-26
3.90923782344573e-05 8.370353259317485e-26
4.0003878733676586e-05 9.177934741319082e-26
4.093663230568398e-05 1.0063394541869913e-25
4.1891134499415887e-05 1.1034236921511673e-25
4.2867892418314344e-05 1.209868836454316e-25
4.386742498973848e-05 1.3265766956706626e-25
4.489026324065786e-05 1.4545358408055749e-25
4.5936950579773975e-05 1.5948299354601398e-25
4.700804308621986e-05 1.74864686324042e-25
4.8104109804991236e-05 1.917288728328953e-25
4.922573304926602e-05 2.1021828123206285e-25
5.0373508709772956e-05 2.3048935782627026e-25
5.154804657137365e-05 2.5271358214163417e-25
5.27499706370262e-05 2.7707890756299873e-25
5.397991945930254e-05 3.037913394454844e-25
5.5238546479635675e-05 3.330766637332429e-25
5.6526520375476976e-05 3.6518234034017637e-25
5.784452541554797e-05 4.0037957688367617e-25
5.9193261823375433e-05 4.389655998205405e-25
6.057344614930286e-05 4.812661416265704e-25
6.198581165117595e-05 5.276381644016395e-25
6.34311086839044e-05 5.784728421741933e-25
6.491010509810695e-05 6.341988262562352e-25
6.642358664805138e-05 6.952858202518554e-25
6.797235740910648e-05 7.622484937880689e-25
6.955724020492732e-05 8.356507667214035e-25
7.117907704460117e-05 9.161104984976989e-25
7.283872956998614e-05 1.0043046205355363e-24
7.453707951348025e-05 1.1009747529719093e-24
7.627502916646401e-05 1.2069333508934029e-24
7.805350185866558e-05 1.3230704292949783e-24
7.987344244870308e-05 1.4503609204804987e-24
8.173581782606456e-05 1.5898727225034664e-24
8.364161742479263e-05 1.7427755025254787e-24
8.559185374914618e-05 1.9103503247509468e-24
8.758756291151902e-05 2.0940001788207483e-24
8.96298051829007e-05 2.295261491366895e-24
9.17196655561724e-05 2.51581671076836e-24
9.385825432253677e-05 2.757508063158542e-24
9.604670766138824e-05 3.0223525863903865e-24
9.828618824393714e-05 3.31255855803764e-24
0.00010057788585090809 3.630543443677477e-24
0.00010292301800464121 3.9789535026796986e-24
0.00010532283061593165 4.3606852006123064e-24
0.00010777859864595113 4.7789085901863065e-24
0.00011029162678360347 5.237092836527001e-24
0.00011286325013867351 5.7390340774703244e-24
0.00011549483495113791 6.28888582569393e-24
0.00011818777931701482 6.891192136771515e-24
0.0001209435139311377 7.55092378585507e-24
0.00012376350284724815 8.273517715728037e-24
0.00012664924425581149 9.064920040314246e-24
0.00012960227127996844 9.931632910758413e-24
0.00013262415279004548 1.0880765575754807e-23
0.00013571649423705693 1.1920089993979791e-23
0.0001388809385056415 1.3058101384498262e-23
0.00014211916678688624 1.4304084130789336e-23
